,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,ZSeries-09252017-1022-045,-6531.747888,281,-6990.905998,277,-299.748,57.70690346,no cnx,,5,"[array([166, 173, 180, 187, 194, 201, 208, 215, 222, 229])]",-38.39
1,ZSeries-09252017-1022-045,-6586.886167,132,-6917.52564,475,-268.728,50.77833074,no cnx,,5,"[array([29, 35, 41, 47, 53, 59, 65, 71, 77, 83])]",-7.37
2,ZSeries-09252017-1022-045,-6479.857701,421,-6931.968928,436,-268.728,73.72702359,no cnx,,5,"[array([31, 37, 43, 49, 55, 61, 67, 73, 79, 85])]",-7.37
3,ZSeries-09252017-1022-045,-6548.370733,236,-6967.97414,339,-255.788,16.97255581,tbd,,5,"[[86, 90, 94, 98, 102, 106, 110, 114, 118, 122]]",5.57
4,ZSeries-09252017-1022-045,-6620.216832,42,-6924.191773,457,-268.728,75.5312211,no cnx,,5,"[array([30, 36, 42, 48, 54, 60, 66, 72, 78, 84])]",-7.37
5,ZSeries-09252017-1022-045,-6560.962317,202,-6895.01702,536,-240.908,61.52089405,no cnx,,5,"[array([126, 130, 134, 138, 142, 146, 150, 154, 158, 162])]",20.45
6,ZSeries-09252017-1022-045,-6561.004805,202,-7042.753698,137,-299.748,99.04224895,no cnx,,5,"[array([172, 179, 186, 193, 200, 207, 214, 221, 228, 235])]",-38.39
7,ZSeries-09252017-1022-045,-6581.373544,147,-7138.671942,122,-299.748,193.008911,no cnx,,5,"[array([168, 175, 182, 189, 196, 203, 210, 217, 224, 231])]",-38.39
8,ZSeries-09252017-1022-045,-6616.883765,51,-6943.161313,406,-240.908,70.11928635,no cnx,,5,"[array([127, 131, 135, 139, 143, 147, 151, 155, 159, 163])]",20.45
9,ZSeries-09252017-1022-045,-6603.92184,86,-6906.045078,506,-268.728,70.96866569,no cnx,,5,"[array([26, 32, 38, 44, 50, 56, 62, 68, 74, 80])]",-7.37
10,ZSeries-09252017-1022-045,-6495.412011,379,-7036.487172,153,-255.788,100.9035095,no cnx,,5,"[array([ 89,  93,  97, 101, 105, 109, 113, 117, 121, 125])]",5.57
11,ZSeries-09252017-1022-045,-6535.080955,272,-6997.20179,260,-299.748,61.19996139,no cnx,,5,"[array([169, 176, 183, 190, 197, 204, 211, 218, 225, 232])]",-38.39
12,ZSeries-09252017-1022-045,-6516.151091,323,-7050.93046,114,-255.788,104.7741086,no cnx,,5,"[array([ 87,  91,  95,  99, 103, 107, 111, 115, 119, 123])]",5.57
13,ZSeries-09252017-1022-045,-6530.266525,285,-7135.338876,113,-299.748,188.3252175,no cnx,,5,"[array([167, 174, 181, 188, 195, 202, 209, 216, 223, 230])]",-38.39
14,ZSeries-09252017-1022-045,-6559.480955,206,-6938.346883,419,-255.788,17.37009688,tbd,,5,"[[88, 92, 96, 100, 104, 108, 112, 116, 120, 124]]",5.57
15,ZSeries-09252017-1022-045,-6488.047684,399,-7037.939268,150,-299.748,112.852972,no cnx,,5,"[array([171, 178, 185, 192, 199, 206, 213, 220, 227, 234])]",-38.39
16,ZSeries-09252017-1022-045,-6585.404805,136,-6956.493578,370,-240.908,40.77478712,no cnx,,5,"[array([129, 133, 137, 141, 145, 149, 153, 157, 161, 165])]",20.45
17,ZSeries-09252017-1022-045,-6580.590375,149,-6940.486764,413,-268.728,33.1593193,no cnx,,5,"[array([27, 33, 39, 45, 51, 57, 63, 69, 75, 81])]",-7.37
18,ZSeries-09252017-1022-045,-6558.042079,210,-7064.6038,77,-299.748,119.145327,no cnx,,5,"[array([170, 177, 184, 191, 198, 205, 212, 219, 226, 233])]",-38.39
19,ZSeries-09252017-1022-045,-6537.630853,265,-6941.597786,410,-268.728,18.09011561,no cnx,,5,"[array([28, 34, 40, 46, 52, 58, 64, 70, 76, 82])]",-7.37
20,ZSeries-09252017-1022-045,-6610.587973,68,-6878.722029,580,-240.908,97.05697259,no cnx,,5,"[array([128, 132, 136, 140, 144, 148, 152, 156, 160, 164])]",20.45
