,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,ZSeries-09122017-1013-027,['TSeries_237_7'],-6966.04473985,48,-7604.97178798,207,-523.113,82.4476527148,no cnx,,5.0,"[array([243, 255, 267, 279, 291, 303, 315, 327, 339, 351])]",18.54
1,ZSeries-09122017-1013-027,['TSeries_447_1'],-6862.74838388,327,-7504.60059981,479,-489.353,77.8080061404,no cnx,,5.0,"[array([447, 453, 459, 465, 471, 477, 483, 489, 495, 501])]",-15.22
2,ZSeries-09122017-1013-027,['TSeries_237_1'],-6913.58102776,189,-7480.37047176,544,-523.113,99.2692056335,no cnx,,5.0,"[array([237, 249, 261, 273, 285, 297, 309, 321, 333, 345])]",18.54
3,ZSeries-09122017-1013-027,['TSeries_357_10'],-6930.13207979,145,-7521.27967583,434,-508.623,66.6333107387,no cnx,,5.0,"[array([366, 378, 390, 402, 414, 426, 438, 450, 462, 474])]",4.05
4,ZSeries-09122017-1013-027,['TSeries_147_6'],-6975.53586659,22,-7628.02663545,145,-501.443,99.3446608471,no cnx,,5.0,"[array([152, 161, 170, 179, 188, 197, 206, 215, 224, 233])]",-3.13
5,ZSeries-09122017-1013-027,['TSeries_537_3'],-6857.75183987,341,-7442.1437997,648,-471.783,141.225985391,no cnx,,5.0,"[array([539, 546, 553, 560, 567, 574, 581, 588, 595, 602])]",-32.79
6,ZSeries-09122017-1013-027,['TSeries_27_1'],-6922.48358909,165,-7665.20705863,44,-496.993,95.4081419029,no cnx,,5.0,"[array([ 27,  39,  51,  63,  75,  87,  99, 111, 123, 135])]",-7.58
7,ZSeries-09122017-1013-027,['TSeries_357_4'],-6944.49714382,106,-7533.45875185,401,-508.623,67.7608371479,no cnx,,5.0,"[array([360, 372, 384, 396, 408, 420, 432, 444, 456, 468])]",4.05
8,ZSeries-09122017-1013-027,['TSeries_357_9'],-7002.26968392,49,-7533.14646785,401,-508.623,118.715084888,no cnx,,5.0,"[array([365, 377, 389, 401, 413, 425, 437, 449, 461, 473])]",4.05
9,ZSeries-09122017-1013-027,['TSeries_237_3'],-6936.6900438,127,-7443.83324369,643,-523.113,140.316951281,no cnx,,5.0,"[array([239, 251, 263, 275, 287, 299, 311, 323, 335, 347])]",18.54
10,ZSeries-09122017-1013-027,['TSeries_537_6'],-6905.21900795,212,-7518.96566383,440,-471.783,66.6626575267,no cnx,,5.0,"[array([542, 549, 556, 563, 570, 577, 584, 591, 598, 605])]",-32.79
11,ZSeries-09122017-1013-027,['TSeries_27_9'],-6905.91502181,210,-7536.80066226,392,-496.993,41.8742436767,no cnx,,5.0,"[array([ 35,  47,  59,  71,  83,  95, 107, 119, 131, 143])]",-7.58
12,ZSeries-09122017-1013-027,['TSeries_27_4'],-6892.4530609,247,-7628.70443386,143,-496.993,53.9192089647,no cnx,,5.0,"[array([ 30,  42,  54,  66,  78,  90, 102, 114, 126, 138])]",-7.58
13,ZSeries-09122017-1013-027,['TSeries_147_2'],-6887.77423681,259,-7609.38699726,195,-501.443,34.3881911112,no cnx,,5.0,"[array([148, 157, 166, 175, 184, 193, 202, 211, 220, 229])]",-3.13
14,ZSeries-09122017-1013-027,['TSeries_237_12'],-6964.48331985,52,-7436.65071168,662,-523.113,157.862929346,no cnx,,5.0,"[array([248, 260, 272, 284, 296, 308, 320, 332, 344, 356])]",18.54
15,ZSeries-09122017-1013-027,['TSeries_357_11'],-6948.24455182,96,-7606.84549198,202,-508.623,65.1421678677,no cnx,,5.0,"[array([367, 379, 391, 403, 415, 427, 439, 451, 463, 475])]",4.05
16,ZSeries-09122017-1013-027,['TSeries_357_8'],-6892.34571572,247,-7516.59541582,446,-508.623,58.883563671,no cnx,,5.0,"[array([364, 376, 388, 400, 412, 424, 436, 448, 460, 472])]",4.05
17,ZSeries-09122017-1013-027,['TSeries_147_7'],-6914.43927476,187,-7713.97607818,87,-501.443,140.584474443,no cnx,,5.0,"[array([153, 162, 171, 180, 189, 198, 207, 216, 225, 234])]",-3.13
18,ZSeries-09122017-1013-027,['TSeries_357_7'],-6887.66145572,260,-7484.43016376,533,-508.623,91.0673628016,no cnx,,5.0,"[array([363, 375, 387, 399, 411, 423, 435, 447, 459, 471])]",4.05
19,ZSeries-09122017-1013-027,['TSeries_357_5'],-6901.40195174,222,-7544.70097587,370,-508.623,32.4829611277,no cnx,,5.0,"[array([361, 373, 385, 397, 409, 421, 433, 445, 457, 469])]",4.05
20,ZSeries-09122017-1013-027,['TSeries_447_6'],-6887.73110392,259,-7493.04609179,510,-489.353,83.7605671377,no cnx,,5.0,"[array([452, 458, 464, 470, 476, 482, 488, 494, 500, 506])]",-15.22
21,ZSeries-09122017-1013-027,['TSeries_27_6'],-6945.78313681,102,-7525.1508884,423,-496.993,74.4018250835,no cnx,,5.0,"[array([ 32,  44,  56,  68,  80,  92, 104, 116, 128, 140])]",-7.58
22,ZSeries-09122017-1013-027,['TSeries_27_2'],-6830.83870135,413,-7603.33381522,212,-496.993,67.1298306528,no cnx,,5.0,"[array([ 28,  40,  52,  64,  76,  88, 100, 112, 124, 136])]",-7.58
23,ZSeries-09122017-1013-027,['TSeries_237_4'],-6981.34665588,6,-7505.3531918,477,-523.113,115.478664325,no cnx,,5.0,"[array([240, 252, 264, 276, 288, 300, 312, 324, 336, 348])]",18.54
24,ZSeries-09122017-1013-027,['TSeries_147_5'],-6943.17538363,109,-7580.6508884,273,-501.443,52.1652393642,no cnx,,5.0,"[array([151, 160, 169, 178, 187, 196, 205, 214, 223, 232])]",-3.13
25,ZSeries-09122017-1013-027,['TSeries_27_11'],-6982.80352932,2,-7648.63849136,89,-496.993,117.431934531,no cnx,,5.0,"[array([ 37,  49,  61,  73,  85,  97, 109, 121, 133, 145])]",-7.58
26,ZSeries-09122017-1013-027,['TSeries_357_12'],-6947.61998382,97,-7512.84800781,456,-508.623,84.1660196044,no cnx,,5.0,"[array([368, 380, 392, 404, 416, 428, 440, 452, 464, 476])]",4.05
27,ZSeries-09122017-1013-027,['TSeries_237_5'],-6891.09657972,250,-7490.98812778,515,-523.113,86.3575193857,no cnx,,5.0,"[array([241, 253, 265, 277, 289, 301, 313, 325, 337, 349])]",18.54
28,ZSeries-09122017-1013-027,['TSeries_147_1'],-6957.93176386,69,-7560.71683089,327,-501.443,68.2127844748,no cnx,,5.0,"[array([147, 156, 165, 174, 183, 192, 201, 210, 219, 228])]",-3.13
29,ZSeries-09122017-1013-027,['TSeries_27_8'],-6887.53426749,260,-7558.28802294,333,-496.993,19.0447094223,no cnx,,5.0,"[array([ 34,  46,  58,  70,  82,  94, 106, 118, 130, 142])]",-7.58
30,ZSeries-09122017-1013-027,['TSeries_537_7'],-6900.22246394,226,-7551.75548389,351,-471.783,41.3432561078,no cnx,,5.0,"[array([543, 550, 557, 564, 571, 578, 585, 592, 599, 606])]",-32.79
31,ZSeries-09122017-1013-027,['TSeries_27_12'],-6869.15351317,310,-7546.37936522,366,-496.993,37.2766401605,no cnx,,5.0,"[array([ 38,  50,  62,  74,  86,  98, 110, 122, 134, 146])]",-7.58
32,ZSeries-09122017-1013-027,['TSeries_357_1'],-6985.40634789,4,-7587.17159994,255,-508.623,94.8588088609,no cnx,,5.0,"[array([357, 369, 381, 393, 405, 417, 429, 441, 453, 465])]",4.05
33,ZSeries-09122017-1013-027,['TSeries_537_5'],-6916.14894797,183,-7443.7052197,643,-471.783,137.89250994,no cnx,,5.0,"[array([541, 548, 555, 562, 569, 576, 583, 590, 597, 604])]",-32.79
34,ZSeries-09122017-1013-027,['TSeries_237_9'],-6955.11479983,77,-7495.04781978,504,-523.113,104.171841835,no cnx,,5.0,"[array([245, 257, 269, 281, 293, 305, 317, 329, 341, 353])]",18.54
35,ZSeries-09122017-1013-027,['TSeries_537_4'],-6851.19387586,358,-7465.56509974,584,-471.783,121.402233419,no cnx,,5.0,"[array([540, 547, 554, 561, 568, 575, 582, 589, 596, 603])]",-32.79
