index,MP_ID,rad_um,sweeps,X_mm,Y_mm,Z_mm,mW,electrode_1,X_rotate,Y_rotate,z_electrode_1,electrode_1_cnx,notes,Y_pix,Image,X_pix
135,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[27, 41, 55, 69, 83, 97, 111, 125, 139, 153]",-4031.13324209,1063.13569777,405.926,12.4442479567,33.2062790836,32.3568392836,7.46270206767,0.0,no cnx,,,,
136,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[28, 42, 56, 70, 84, 98, 112, 126, 140, 154]",-4022.36556861,1144.41440055,405.926,12.4442479567,99.6086906998,80.5892186395,-58.5428825905,0.0,no cnx,,,,
137,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[29, 43, 57, 71, 85, 99, 113, 127, 141, 155]",-4038.95305898,1142.51868737,405.926,12.4442479567,92.2569934228,65.276174007,-65.1948919964,0.0,no cnx,,,,
138,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[30, 44, 58, 72, 86, 100, 114, 128, 142, 156]",-4017.15235736,1197.25740557,405.926,12.4442479567,150.932955726,111.525494532,-101.699661719,0.0,no cnx,,,,
139,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[31, 45, 59, 73, 87, 101, 115, 129, 143, 157]",-3999.1430821,1173.56099076,405.926,12.4442479567,136.003796928,115.273777001,-72.1733268921,0.0,no cnx,,,,
140,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[32, 46, 60, 74, 88, 102, 116, 130, 144, 158]",-3990.37540863,1131.8553007,405.926,12.4442479567,106.817224551,102.013959936,-31.6713030804,0.0,no cnx,,,,
141,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[33, 47, 61, 75, 89, 103, 117, 131, 145, 159]",-3973.07702582,1103.65656708,405.926,12.4442479567,102.904938306,102.895432083,1.39870799206,0.0,no cnx,,,,
142,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[34, 48, 62, 76, 90, 104, 118, 132, 146, 160]",-3925.92116036,1128.53780263,405.926,12.4442479567,156.211863633,156.174227285,3.42885866336,0.0,no cnx,,,,
143,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[35, 49, 63, 77, 91, 105, 119, 133, 147, 161]",-3907.43795681,1122.85066308,405.926,12.4442479567,170.249299479,169.337581325,17.5956677657,0.0,no cnx,,,,
144,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[36, 50, 64, 78, 92, 106, 120, 134, 148, 162]",-3902.22474555,1138.727261,405.926,12.4442479567,181.905138923,181.790653669,6.45273627006,0.0,no cnx,,,,
145,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[37, 51, 65, 79, 93, 107, 121, 135, 149, 163]",-3967.62685041,1216.45150156,405.926,12.4442479567,188.821621737,164.012889677,-93.5594829789,0.0,no cnx,,,,
146,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[38, 52, 66, 80, 94, 108, 122, 136, 150, 164]",-3908.14884925,1175.69366809,405.926,12.4442479567,197.21696238,195.143432917,-28.5231632132,0.0,no cnx,,,,
147,TSeries-09152017-1132-026_Cycle00002_MarkPoints.xml,5.0,"[39, 53, 67, 81, 95, 109, 123, 137, 151, 165]",-3954.83078642,1193.4659792,405.926,12.4442479567,176.886554445,163.601844984,-67.2554046971,0.0,no cnx,,,,
