,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,ZSeries-09212017-0924-040,-7325.57414,252,-7008.854498,339,107.032,44.46616299,tbd,,5,"[[153, 159, 165, 171, 177, 183, 189, 195, 201, 207]]",0.004
1,ZSeries-09212017-0924-040,-7349.275946,188,-7088.107411,125,107.032,40.37150329,tbd,,5,"[[148, 154, 160, 166, 172, 178, 184, 190, 196, 202]]",0.004
2,ZSeries-09212017-0924-040,-7348.675946,189,-7088.107411,125,107.986,40.08522082,tbd,,5,"[[28, 34, 40, 46, 52, 58, 64, 70, 76, 82]]",0.958
3,ZSeries-09212017-0924-040,-7370.896389,129,-6997.744277,369,107.986,69.4891644,no cnx,,5,"[[30, 36, 42, 48, 54, 60, 66, 72, 78, 84]]",0.958
4,ZSeries-09212017-0924-040,-7310.530853,293,-6993.300188,381,107.986,62.68252069,no cnx,,5,"[[29, 35, 41, 47, 53, 59, 65, 71, 77, 83]]",0.958
5,ZSeries-09212017-0924-040,-7332.980955,232,-7046.999592,236,107.032,7.348594488,tbd,,5,"[[151, 157, 163, 169, 175, 181, 187, 193, 199, 205]]",0.004
6,ZSeries-09212017-0924-040,-7332.380955,234,-7046.999592,236,107.986,7.107916788,tbd,,5,"[[31, 37, 43, 49, 55, 61, 67, 73, 79, 85]]",0.958
7,ZSeries-09212017-0924-040,-7371.496389,128,-6997.744277,369,107.032,69.84584347,no cnx,,5,"[[150, 156, 162, 168, 174, 180, 186, 192, 198, 204]]",0.004
8,ZSeries-09212017-0924-040,-7311.130853,291,-6993.300188,381,107.032,62.50086109,no cnx,,5,"[[149, 155, 161, 167, 173, 179, 185, 191, 197, 203]]",0.004
9,ZSeries-09212017-0924-040,-7369.274344,134,-7048.110614,233,107.032,40.57646903,tbd,,5,"[[152, 158, 164, 170, 176, 182, 188, 194, 200, 206]]",0.004
10,ZSeries-09212017-0924-040,-7368.674344,135,-7048.110614,233,107.986,39.99272948,tbd,,5,"[[32, 38, 44, 50, 56, 62, 68, 74, 80, 86]]",0.958
11,ZSeries-09212017-0924-040,-7324.97414,254,-7008.854498,339,107.986,44.52694092,tbd,,5,"[[33, 39, 45, 51, 57, 63, 69, 75, 81, 87]]",0.958
