,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,ZSeries-10092017-0936-055,-6147.559471,328,-7032.521649,409,73.791,69.96502999,no cnx,,5,"[array([102, 104, 106, 108, 110, 112, 114, 116, 118, 120])]",-9.28
1,ZSeries-10092017-0936-055,-6193.268167,204,-7144.118316,107,11.621,115.5084551,no cnx,,5,"[array([121, 123, 125, 127, 129, 131, 133, 135, 137, 139])]",-71.45
2,ZSeries-10092017-0936-055,-6156.641345,303,-7154.971716,78,27.371,127.1451472,inhibitory,,5,"[[141, 142, 143, 144, 145, 146, 147, 148, 149, 150]]",-55.7
3,ZSeries-10092017-0936-055,-6241.510513,73,-7112.118181,194,11.621,95.50798654,no cnx,,5,"[array([122, 124, 126, 128, 130, 132, 134, 136, 138, 140])]",-71.45
4,ZSeries-10092017-0936-055,-6136.569902,357,-7078.528828,285,73.791,80.33470005,no cnx,,5,"[array([101, 103, 105, 107, 109, 111, 113, 115, 117, 119])]",-9.28
