,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,TSeries-09252017-1022-026,-8008.801193,290,-6239.401994,317,-177.538,29.07397986,tbd,,5,"[[28, 32, 36, 40, 44, 48, 52, 56, 60, 64]]",0
1,TSeries-09252017-1022-026,-8062.130256,146,-6226.069728,353,-177.538,46.47835344,tbd,,5,"[[29, 33, 37, 41, 45, 49, 53, 57, 61, 65]]",0
2,TSeries-09252017-1022-026,-8031.021636,230,-6259.400392,263,-177.538,1.200200859,tbd,,5,"[[26, 30, 34, 38, 42, 46, 50, 54, 58, 62]]",0
3,TSeries-09252017-1022-026,-8095.090579,57,-6205.330648,409,-177.538,84.80771952,tbd,,5,"[[27, 31, 35, 39, 43, 47, 51, 55, 59, 63]]",0
