MP_ID,rad_um,sweeps,X_mm,Y_mm,Z_mm,mW,electrode_1,z_electrode_1,electrode_1_cnx,notes,Y_pix,Image,X_pix
,,,,,,,,,,,,,
TSeries-09222017-1203-052_Cycle00002_MarkPoints.xml,5.0,"[53, 63, 73, 83, 93, 103, 113, 123, 133, 143, 153, 163, 173, 183, 193, 203, 213, 223, 233, 243]",-6067.69929838,1316.88242484,-354.033,12.4442479567,86.9115883879,0.0,no cnx,,,,
TSeries-09222017-1203-052_Cycle00002_MarkPoints.xml,5.0,"[54, 64, 74, 84, 94, 104, 114, 124, 134, 144, 154, 164, 174, 184, 194, 204, 214, 224, 234, 244]",-6008.22129722,1287.49887048,-354.033,12.4442479567,76.5309825533,0.0,no cnx,,,,
TSeries-09222017-1203-052_Cycle00002_MarkPoints.xml,5.0,"[55, 65, 75, 85, 95, 105, 115, 125, 135, 145, 155, 165, 175, 185, 195, 205, 215, 225, 235, 245]",-5945.42579798,1241.29086161,-354.033,12.4442479567,114.263905795,0.0,no cnx,,,,
TSeries-09222017-1203-052_Cycle00002_MarkPoints.xml,5.0,"[56, 66, 76, 86, 96, 106, 116, 126, 136, 146, 156, 166, 176, 186, 196, 206, 216, 226, 236, 246]",-5958.22186198,1261.66977834,-354.033,12.4442479567,105.68175947,0.0,no cnx,,,,
TSeries-09222017-1203-052_Cycle00002_MarkPoints.xml,5.0,"[57, 67, 77, 87, 97, 107, 117, 127, 137, 147, 157, 167, 177, 187, 197, 207, 217, 227, 237, 247]",-5972.20274671,1327.30884735,-354.033,12.4442479567,130.216057743,0.0,no cnx,,,,
TSeries-09222017-1203-052_Cycle00002_MarkPoints.xml,5.0,"[58, 68, 78, 88, 98, 108, 118, 128, 138, 148, 158, 168, 178, 188, 198, 208, 218, 228, 238, 248]",-5983.57702582,1316.40849654,-354.033,12.4442479567,114.512786636,0.0,no cnx,,,,
TSeries-09222017-1203-052_Cycle00002_MarkPoints.xml,5.0,"[59, 69, 79, 89, 99, 109, 119, 129, 139, 149, 159, 169, 179, 189, 199, 209, 219, 229, 239, 249]",-6000.63844448,1317.59331728,-354.033,12.4442479567,105.024317576,0.0,no cnx,,,,
TSeries-09222017-1203-052_Cycle00002_MarkPoints.xml,5.0,"[60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250]",-6030.73289128,1314.03885506,-354.033,12.4442479567,88.3495014452,0.0,no cnx,,,,
TSeries-09222017-1203-052_Cycle00002_MarkPoints.xml,5.0,"[61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251]",-6080.02143408,1190.58053392,-354.033,12.4442479567,44.9407988856,0.0,no cnx,,,,
,,,,,,,,,,,,,
