index,MP_ID,rad_um,sweeps,X_mm,Y_mm,Z_mm,mW,electrode_1,X_rotate,Y_rotate,z_electrode_1,electrode_1_cnx,notes,Y_pix,Image,X_pix
225,TSeries-09152017-1301-026_Cycle00002_MarkPoints.xml,5.0,"[26, 29, 32, 35, 38, 41, 44, 47, 50, 53]",-4221.89395913,962.184743652,26.698,12.4442479567,56.3142692891,-1.58015670788,-56.2920956293,0.0,no cnx,,,,
227,TSeries-09152017-1301-026_Cycle00002_MarkPoints.xml,5.0,"[28, 31, 34, 37, 40, 43, 46, 49, 52, 55]",-4148.90900153,1003.65346956,26.698,12.4442479567,83.5680870209,78.0735813062,-29.8016957631,0.0,no cnx,,,,
228,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[66, 74, 82, 90, 98, 106, 114, 122, 130, 138]",-4219.52431765,959.815102172,26.698,12.4442479567,56.3142692891,-1.58015670788,-56.2920956293,0.0,excitatory,,,,
230,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[68, 76, 84, 92, 100, 108, 116, 124, 132, 140]",-4165.73345604,977.11348498,26.698,12.4442479567,54.8841911704,47.2681588101,-27.8925725441,0.0,no cnx,,,,
231,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[69, 77, 85, 93, 101, 109, 117, 125, 133, 141]",-4242.74680416,897.019602937,26.698,12.4442479567,71.1531959718,-63.785183507,-31.5313758339,0.0,no cnx,,,,
232,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[70, 78, 86, 94, 102, 110, 118, 126, 134, 142]",-4191.79951233,957.208496543,26.698,12.4442479567,37.1248033424,15.0342736039,-33.9443904116,0.0,no cnx,,,,
233,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[71, 79, 87, 95, 103, 111, 119, 127, 135, 143]",-4183.03183885,1011.47328645,26.698,12.4442479567,88.3825447381,61.2275900982,-63.738971008,0.0,no cnx,,,,
234,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[72, 80, 88, 96, 104, 112, 120, 128, 136, 144]",-4136.34990168,993.937939492,26.698,12.4442479567,81.2976991469,79.4326006674,-17.3140936174,0.0,no cnx,,,,
235,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[73, 81, 89, 97, 105, 113, 121, 129, 137, 145]",-4247.72305127,971.900273722,26.698,12.4442479567,86.1015028062,-11.4677597297,-85.334396771,0.0,no cnx,,,,
236,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[146, 155, 164, 173, 182, 191, 200, 209, 218, 227]",-4207.88953545,966.272935637,26.698,12.4442479567,55.799899766,-1.43913546018,-55.7813383044,0.0,no cnx,,,,
