MP_ID,rad_um,sweeps,X_mm,Y_mm,Z_mm,mW,electrode_1,z_electrode_1,xy_Distance2,x_coor2,y_coor2,electrode_1_cnx,notes,Y_pix,Image,X_pix
,,,,,,,,,,,,,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[27, 39, 51, 63, 75, 87, 99, 111, 123, 135, 147, 159, 171, 183, 195, 207, 219, 231, 243, 255]",-6747.90646877,400.626773325,-40.651,12.4442479567,57.8192521259,0.0,0.0,0.0,-0.0,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[28, 40, 52, 64, 76, 88, 100, 112, 124, 136, 148, 160, 172, 184, 196, 208, 220, 232, 244, 256]",-6783.68805512,412.474980728,-40.651,12.4442479567,25.0207659999,0.0,37.6922000002,-30.9962953839,21.4460162577,tbd,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[29, 41, 53, 65, 77, 89, 101, 113, 125, 137, 149, 161, 173, 185, 197, 209, 221, 233, 245, 257]",-6798.61679645,445.412997308,-40.651,12.4442479567,45.3469146178,0.0,67.6560654522,-66.2861058629,13.5460459916,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[30, 42, 54, 66, 78, 90, 102, 114, 126, 138, 150, 162, 174, 186, 198, 210, 222, 234, 246, 258]",-6755.72628565,446.597818048,-40.651,12.4442479567,67.9211342459,0.0,46.6313895253,-41.42019203,-21.4208818972,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[31, 43, 55, 67, 79, 91, 103, 115, 127, 139, 151, 163, 175, 187, 199, 211, 223, 235, 247, 259]",-6704.77899382,410.816231692,-40.651,12.4442479567,101.459680506,0.0,44.3148299901,17.8170990537,-40.5753020735,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[32, 44, 56, 68, 80, 92, 104, 116, 128, 140, 152, 164, 176, 188, 200, 212, 224, 236, 248, 260]",-6656.43830762,438.067108718,-40.651,12.4442479567,153.910722424,0.0,98.8342208878,25.1457321672,-95.5818778445,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[33, 45, 57, 69, 81, 93, 105, 117, 129, 141, 153, 165, 177, 189, 201, 213, 225, 237, 249, 261]",-6759.51771202,520.293668094,-40.651,12.4442479567,128.27839174,0.0,120.22889284,-102.558052168,-62.7441838667,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[34, 46, 58, 70, 82, 94, 106, 118, 130, 142, 154, 166, 178, 190, 202, 214, 226, 238, 250, 262]",-6770.89199113,527.165628388,-40.651,12.4442479567,131.2458402,0.0,128.609548941,-114.891455726,-57.7959296141,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[35, 47, 59, 71, 83, 95, 107, 119, 131, 143, 155, 167, 179, 191, 203, 215, 227, 239, 251, 263]",-6813.30857363,496.597253288,-40.651,12.4442479567,96.2695833583,0.0,116.136851795,-116.005402468,-5.52403324488,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[36, 48, 60, 72, 84, 96, 108, 120, 132, 144, 156, 168, 180, 192, 204, 216, 228, 240, 252, 264]",-6666.15383769,556.312218599,-40.651,12.4442479567,209.089139966,0.0,175.844961709,-75.1359634269,-158.984394072,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[37, 49, 61, 73, 85, 97, 109, 121, 133, 145, 157, 169, 181, 193, 205, 217, 229, 241, 253, 265]",-6685.34793368,483.564225145,-40.651,12.4442479567,146.182873719,0.0,103.885471682,-28.5881278945,-99.8744720642,no cnx,,,,
,,,,,,,,,,,,,,,,
TSeries-09252017-1120-266_Cycle00002_MarkPoints.xml,5.0,"[267, 279, 291, 303, 315, 327, 339, 351, 363, 375, 387, 399, 411, 423, 435, 447, 459, 471, 483, 495]",-6727.57225133,402.996414806,-40.651,12.4442479567,54.0610736529,0.0,0.0,0.0,-0.0,no cnx,,,,
TSeries-09252017-1120-266_Cycle00002_MarkPoints.xml,5.0,"[268, 280, 292, 304, 316, 328, 340, 352, 364, 376, 388, 400, 412, 424, 436, 448, 460, 472, 484, 496]",-6760.03633961,412.23801658,-40.651,12.4442479567,24.2700341636,0.0,33.7538772803,-26.9180473887,20.365238919,no cnx,,,,
TSeries-09252017-1120-266_Cycle00002_MarkPoints.xml,5.0,"[269, 281, 293, 305, 317, 329, 341, 353, 365, 377, 389, 401, 413, 425, 437, 449, 461, 473, 485, 497]",-6773.7802602,444.939069012,-40.651,12.4442479567,44.5303491071,0.0,62.4048581897,-61.3055669632,11.661637321,no cnx,,,,
