,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,ZSeries-09212017-0924-039,-5709.20669586,307,-6827.95182297,167,125.028,61.0059658007,no cnx,,5.0,"[array([308, 315, 322, 329, 336, 343, 350, 357, 364, 371])]",21.916
1,ZSeries-09212017-0924-039,-5682.09630992,380,-6818.69946654,192,181.768,50.4872105826,no cnx,,5.0,"[array([129, 138, 147, 156, 165, 174, 183, 192, 201, 210])]",34.824
2,ZSeries-09212017-0924-039,-5759.74448696,170,-6710.36146205,485,163.24,113.33421754,no cnx,,5.0,"[array([31, 36, 41, 46, 51, 56, 61, 66, 71, 76])]",16.296
3,ZSeries-09212017-0924-039,-5759.74207879,170,-6722.03565702,453,170.453,107.572628533,no cnx,,5.0,"[array([571, 577, 583, 589, 595, 601, 607, 613, 619, 625, 631, 637, 643,
       649, 655, 661, 667, 673, 679, 685])]",23.509
4,ZSeries-09212017-0924-039,-5673.05937236,404,-6775.90690924,308,181.768,35.5580318534,no cnx,,5.0,"[array([132, 141, 150, 159, 168, 177, 186, 195, 204, 213])]",34.824
5,ZSeries-09212017-0924-039,-5740.57018506,222,-6767.35118281,331,125.028,71.5490117064,no cnx,,5.0,"[array([307, 314, 321, 328, 335, 342, 349, 356, 363, 370])]",21.916
6,ZSeries-09212017-0924-039,-5719.00460037,280,-6722.77633845,451,170.453,78.6044285963,no cnx,,5.0,"[array([570, 576, 582, 588, 594, 600, 606, 612, 618, 624, 630, 636, 642,
       648, 654, 660, 666, 672, 678, 684])]",23.509
7,ZSeries-09212017-0924-039,-5737.91226224,229,-6783.2987197,288,125.028,67.3012297825,no cnx,,5.0,"[array([311, 318, 325, 332, 339, 346, 353, 360, 367, 374])]",21.916
8,ZSeries-09212017-0924-039,-5753.59400684,186,-6805.35947905,228,125.028,85.2724449445,no cnx,,5.0,"[array([312, 319, 326, 333, 340, 347, 354, 361, 368, 375])]",21.916
9,ZSeries-09212017-0924-039,-5661.60178985,435,-6816.47253883,198,170.453,42.830864632,no cnx,,5.0,"[array([568, 574, 580, 586, 592, 598, 604, 610, 616, 622, 628, 634, 640,
       646, 652, 658, 664, 670, 676, 682])]",23.509
10,ZSeries-09212017-0924-039,-5707.6098616,311,-6778.83174492,300,149.341,33.673573503,no cnx,,5.0,"[array([447, 453, 459, 465, 471, 477, 483, 489, 495, 501, 507, 513, 519,
       525, 531, 537, 543, 549, 555, 561])]",2.397
11,ZSeries-09212017-0924-039,-5779.11049262,117,-6724.87479122,446,181.768,124.817921432,no cnx,,5.0,"[array([128, 137, 146, 155, 164, 173, 182, 191, 200, 209])]",34.824
12,ZSeries-09212017-0924-039,-5646.74550974,476,-6846.82307494,116,125.028,72.8910633968,no cnx,,5.0,"[array([313, 320, 327, 334, 341, 348, 355, 362, 369, 376])]",21.916
13,ZSeries-09212017-0924-039,-5740.03902726,223,-6727.79850631,438,181.768,92.6448222348,no cnx,,5.0,"[array([131, 140, 149, 158, 167, 176, 185, 194, 203, 212])]",34.824
14,ZSeries-09212017-0924-039,-5728.11520548,255,-6791.95969243,264,163.24,56.9581281037,no cnx,,5.0,"[array([28, 33, 38, 43, 48, 53, 58, 63, 68, 73])]",16.296
15,ZSeries-09212017-0924-039,-5667.51456532,419,-6822.26001251,182,163.24,43.0517570974,no cnx,,5.0,"[array([29, 34, 39, 44, 49, 54, 59, 64, 69, 74])]",16.296
16,ZSeries-09212017-0924-039,-5684.22264818,374,-6772.1858173,318,181.768,37.7928378857,no cnx,,5.0,"[array([127, 136, 145, 154, 163, 172, 181, 190, 199, 208])]",34.824
17,ZSeries-09212017-0924-039,-5703.65158516,322,-6842.02477006,129,149.341,65.9811623689,no cnx,,5.0,"[array([448, 454, 460, 466, 472, 478, 484, 490, 496, 502, 508, 514, 520,
       526, 532, 538, 544, 550, 556, 562])]",2.397
