,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,TSeries-09212017-0924-146,-5629.14468517,127,-6967.04548592,151,38.579,66.4384944371,no cnx,,5.0,"[array([ 28,  34,  40,  46,  52,  58,  64,  70,  76,  82,  88,  94, 100,
       106, 112, 118, 124, 130, 136, 142])]",
1,TSeries-09212017-0924-146,-5596.92504314,214,-7003.3388758,53,38.579,80.1322188578,no cnx,,5.0,"[array([ 29,  35,  41,  47,  53,  59,  65,  71,  77,  83,  89,  95, 101,
       107, 113, 119, 125, 131, 137, 143])]",
2,TSeries-09212017-0924-146,-5577.68937035,266,-6927.45209605,258,27.321,1.8475173654,tbd,,5.0,[[146]],
3,TSeries-09212017-0924-146,-5616.18276022,162,-6937.7885696,230,38.579,40.8656209737,no cnx,,5.0,"[array([ 26,  32,  38,  44,  50,  56,  62,  68,  74,  80,  86,  92,  98,
       104, 110, 116, 122, 128, 134, 140])]",
4,TSeries-09212017-0924-146,-5606.92424239,187,-6891.12563976,356,38.579,45.6157843436,no cnx,,5.0,"[array([ 31,  37,  43,  49,  55,  61,  67,  73,  79,  85,  91,  97, 103,
       109, 115, 121, 127, 133, 139, 145])]",
5,TSeries-09212017-0924-146,-5605.44287954,191,-6862.60940486,433,38.579,69.1299909415,no cnx,,5.0,"[array([ 27,  33,  39,  45,  51,  57,  63,  69,  75,  81,  87,  93,  99,
       105, 111, 117, 123, 129, 135, 141])]",
6,TSeries-09212017-0924-146,-5618.77514521,155,-6949.2691317,199,38.579,47.8415097154,no cnx,,5.0,"[array([ 30,  36,  42,  48,  54,  60,  66,  72,  78,  84,  90,  96, 102,
       108, 114, 120, 126, 132, 138, 144])]",
