,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,ZSeries-09252017-1022-046,-8037.154702,180,-6288.198194,185,-103.088,94.67813624,no cnx,,5,"[array([128, 132, 136, 140, 144, 148, 152, 156, 160, 164])]",36.96
1,ZSeries-09252017-1022-046,-8069.132454,94,-6200.118229,423,-110.018,121.9820103,no cnx,,5,"[array([170, 173, 176, 179, 182, 185, 188, 191, 194, 197])]",30.03
2,ZSeries-09252017-1022-046,-8011.601193,249,-6170.059507,505,-124.608,93.43692296,no cnx,,5,"[array([ 80,  85,  90,  95, 100, 105, 110, 115, 120, 125])]",15.44
3,ZSeries-09252017-1022-046,-8026.044481,210,-6136.728843,595,-124.608,128.9878073,no cnx,,5,"[array([ 78,  83,  88,  93,  98, 103, 108, 113, 118, 123])]",15.44
4,ZSeries-09252017-1022-046,-7934.84087,457,-6260.17334,261,-139.338,28.95896543,no cnx,,5,"[array([32, 37, 42, 47, 52, 57, 62, 67, 72, 77])]",0.71
5,ZSeries-09252017-1022-046,-8052.238876,140,-6279.060716,210,-139.338,97.28694452,no cnx,,5,"[array([28, 33, 38, 43, 48, 53, 58, 63, 68, 73])]",0.71
6,ZSeries-09252017-1022-046,-8143.493782,106,-6191.825043,446,-94.068,196.5254087,no cnx,,5,"[array([239, 241, 243, 245, 247, 249, 251, 253, 255, 257])]",45.98
7,ZSeries-09252017-1022-046,-8017.526645,233,-6147.098383,567,-124.608,115.8431782,no cnx,,5,"[array([ 81,  86,  91,  96, 101, 106, 111, 116, 121, 126])]",15.44
8,ZSeries-09252017-1022-046,-8141.271738,100,-6099.610206,695,-140.838,233.0894804,no cnx,,5,"[array([198, 202, 206, 210, 214, 218, 222, 226, 230, 234])]",-0.79
9,ZSeries-09252017-1022-046,-8153.940477,135,-6211.969132,391,-110.018,198.8374811,no cnx,,5,"[array([168, 171, 174, 177, 180, 183, 186, 189, 192, 195])]",30.03
10,ZSeries-09252017-1022-046,-8080.114225,64,-6269.681159,235,-124.608,122.7872316,no cnx,,5,"[array([ 82,  87,  92,  97, 102, 107, 112, 117, 122, 127])]",15.44
11,ZSeries-09252017-1022-046,-8052.019626,140,-6149.606202,560,-94.068,141.1629135,no cnx,,5,"[array([238, 240, 242, 244, 246, 248, 250, 252, 254, 256])]",45.98
12,ZSeries-09252017-1022-046,-8010.860512,251,-6158.208604,537,-103.088,108.3544823,no cnx,,5,"[array([130, 134, 138, 142, 146, 150, 154, 158, 162, 166])]",36.96
13,ZSeries-09252017-1022-046,-8127.569132,63,-6210.342079,396,-140.838,171.0055557,no cnx,,5,"[array([199, 203, 207, 211, 215, 219, 223, 227, 231, 235])]",-0.79
14,ZSeries-09252017-1022-046,-8024.563118,214,-6298.197394,158,-124.608,83.62539853,no cnx,,5,"[array([ 79,  84,  89,  94,  99, 104, 109, 114, 119, 124])]",15.44
15,ZSeries-09252017-1022-046,-8028.166729,205,-6293.133663,172,-139.338,82.06456393,no cnx,,5,"[array([31, 36, 41, 46, 51, 56, 61, 66, 71, 76])]",0.71
16,ZSeries-09252017-1022-046,-7997.798791,287,-6182.40179,471,-139.338,74.37483125,no cnx,,5,"[array([29, 34, 39, 44, 49, 54, 59, 64, 69, 74])]",0.71
17,ZSeries-09252017-1022-046,-8086.780358,46,-6195.242675,437,-103.088,141.3099782,no cnx,,5,"[array([129, 133, 137, 141, 145, 149, 153, 157, 161, 165])]",36.96
18,ZSeries-09252017-1022-046,-8124.976747,56,-6112.20179,661,-140.838,212.5037081,no cnx,,5,"[array([200, 204, 208, 212, 216, 220, 224, 228, 232, 236])]",-0.79
19,ZSeries-09252017-1022-046,-8050.116627,145,-6187.09518,459,-103.088,113.8291405,no cnx,,5,"[array([131, 135, 139, 143, 147, 151, 155, 159, 163, 167])]",36.96
20,ZSeries-09252017-1022-046,-8115.795384,31,-6207.525043,403,-110.018,162.9760644,no cnx,,5,"[array([169, 172, 175, 178, 181, 184, 187, 190, 193, 196])]",30.03
21,ZSeries-09252017-1022-046,-7907.805998,530,-6304.614225,141,-139.338,78.26535707,no cnx,,5,"[array([30, 35, 40, 45, 50, 55, 60, 65, 70, 75])]",0.71
22,ZSeries-09252017-1022-046,-8186.823646,224,-6149.235861,561,-140.838,246.4482851,no cnx,,5,"[array([201, 205, 209, 213, 217, 221, 225, 229, 233, 237])]",-0.79
