,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,TSeries-11172017-0948-177,['TSeries_657_6'],-6219.88423084,92,-6536.88654546,455,-49.378,122.527834055,no cnx,,5.0,"[array([662, 672, 682, 692, 702, 712, 722, 732, 742, 752, 762, 772, 782,
       792, 802])]",-74.23
1,TSeries-11172017-0948-177,['TSeries_327_11'],-6141.77393835,303,-6623.9121423,220,-99.428,59.1841635304,no cnx,,5.0,"[array([337, 349, 361, 373, 385, 397, 409, 421, 433, 445])]",-24.18
2,TSeries-11172017-0948-177,['TSeries_657_5'],-6253.48581187,1,-6474.52201107,624,-49.378,182.892594141,no cnx,,5.0,"[array([661, 671, 681, 691, 701, 711, 721, 731, 741, 751, 761, 771, 781,
       791, 801])]",-74.23
3,TSeries-11172017-0948-177,['TSeries_507_4'],-6231.05720791,62,-6635.10986878,189,-99.358,43.3820517488,no cnx,,5.0,"[array([510, 520, 530, 540, 550, 560, 570, 580, 590, 600, 610, 620, 630,
       640, 650])]",-24.25
4,TSeries-11172017-0948-177,['TSeries_657_3'],-6283.32401582,79,-6457.04918894,671,-49.378,208.79096179,no cnx,,5.0,"[array([659, 669, 679, 689, 699, 709, 719, 729, 739, 749, 759, 769, 779,
       789, 799])]",-74.23
5,TSeries-11172017-0948-177,['TSeries_657_2'],-6226.60454705,74,-6471.83388459,631,-49.378,178.58776081,no cnx,,5.0,"[array([658, 668, 678, 688, 698, 708, 718, 728, 738, 748, 758, 768, 778,
       788, 798])]",-74.23
6,TSeries-11172017-0948-177,['TSeries_327_3'],-6136.39768538,318,-6680.09398577,68,-99.428,80.2661205851,no cnx,,5.0,"[array([329, 341, 353, 365, 377, 389, 401, 413, 425, 437])]",-24.18
7,TSeries-11172017-0948-177,['TSeries_27_3'],-6094.18122373,432,-6602.61356839,277,-114.138,105.509697378,no cnx,,5.0,"[array([29, 39, 49, 59, 69])]",-9.47
8,TSeries-11172017-0948-177,['TSeries_507_5'],-6290.73361581,99,-6619.51873518,232,-99.358,99.1619380261,no cnx,,5.0,"[array([511, 521, 531, 541, 551, 561, 571, 581, 591, 601, 611, 621, 631,
       641, 651])]",-24.25
9,TSeries-11172017-0948-177,['TSeries_657_9'],-6205.63716049,131,-6499.25277471,557,-49.378,151.762518885,no cnx,,5.0,"[array([665, 675, 685, 695, 705, 715, 725, 735, 745, 755, 765, 775, 785,
       795, 805])]",-74.23
10,TSeries-11172017-0948-177,['TSeries_27_7'],-6148.21256602,286,-6649.11815653,152,-114.138,51.2546025785,no cnx,,5.0,"[array([33, 43, 53, 63, 73])]",-9.47
11,TSeries-11172017-0948-177,['TSeries_327_4'],-6243.92274466,27,-6623.374517,221,-99.428,54.8694784144,no cnx,,5.0,"[array([330, 342, 354, 366, 378, 390, 402, 414, 426, 438])]",-24.18
12,TSeries-11172017-0948-177,['TSeries_327_7'],-6121.88180238,357,-6670.14791779,95,-99.428,86.5447290691,no cnx,,5.0,"[array([333, 345, 357, 369, 381, 393, 405, 417, 429, 441])]",-24.18
13,TSeries-11172017-0948-177,['TSeries_177_2'],-6082.05990515,465,-6619.01113993,233,-123.608,113.893127618,no cnx,,5.0,"[array([178, 188, 198, 208, 218, 228, 238, 248, 258, 268])]",0.0
14,TSeries-11172017-0948-177,['TSeries_27_6'],-6185.30871147,186,-6660.1394751,122,-114.138,32.0295438105,no cnx,,5.0,"[array([32, 42, 52, 62, 72])]",-9.47
15,TSeries-11172017-0948-177,['TSeries_177_10'],-6129.37093123,337,-6581.10855653,335,-123.608,82.8082778157,no cnx,,5.0,"[array([186, 196, 206, 216, 226, 236, 246, 256, 266, 276])]",0.0
16,TSeries-11172017-0948-177,['TSeries_657_1'],-6357.24749407,279,-6396.0287178,836,-49.378,295.04595129,no cnx,,5.0,"[array([657, 667, 677, 687, 697, 707, 717, 727, 737, 747, 757, 767, 777,
       787, 797])]",-74.23
17,TSeries-11172017-0948-177,['TSeries_327_8'],-6210.32116364,118,-6592.72987511,304,-99.428,47.8721511046,no cnx,,5.0,"[array([334, 346, 358, 370, 382, 394, 406, 418, 430, 442])]",-24.18
18,TSeries-11172017-0948-177,['TSeries_507_2'],-6193.69224981,163,-6575.70227352,350,-99.358,60.6023580326,no cnx,,5.0,"[array([508, 518, 528, 538, 548, 558, 568, 578, 588, 598, 608, 618, 628,
       638, 648])]",-24.25
19,TSeries-11172017-0948-177,['TSeries_177_1'],-6195.23003004,159,-6632.18295969,197,-123.608,0.96716901577,no cnx,,5.0,"[array([177, 187, 197, 207, 217, 227, 237, 247, 257, 267])]",0.0
20,TSeries-11172017-0948-177,['TSeries_177_6'],-6142.27393835,302,-6555.8401676,404,-123.608,92.1589760847,no cnx,,5.0,"[array([182, 192, 202, 212, 222, 232, 242, 252, 262, 272])]",0.0
21,TSeries-11172017-0948-177,['TSeries_27_8'],-6111.65404586,385,-6667.3974166,102,-114.138,91.6229391835,no cnx,,5.0,"[array([34, 44, 54, 64, 74])]",-9.47
22,TSeries-11172017-0948-177,['TSeries_657_7'],-6320.15134862,178,-6424.79167116,758,-49.378,252.409551942,no cnx,,5.0,"[array([663, 673, 683, 693, 703, 713, 723, 733, 743, 753, 763, 773, 783,
       793, 803])]",-74.23
23,TSeries-11172017-0948-177,['TSeries_327_2'],-6206.02016127,130,-6564.77335969,380,-99.428,71.5161799152,no cnx,,5.0,"[array([328, 340, 352, 364, 376, 388, 400, 412, 424, 436])]",-24.18
24,TSeries-11172017-0948-177,['TSeries_27_9'],-6123.48180238,353,-6593.47393835,302,-114.138,81.6806139844,no cnx,,5.0,"[array([35, 45, 55, 65, 75])]",-9.47
25,TSeries-11172017-0948-177,['TSeries_27_4'],-6137.72887274,314,-6660.94591305,119,-114.138,65.4790787126,no cnx,,5.0,"[array([30, 40, 50, 60, 70])]",-9.47
26,TSeries-11172017-0948-177,['TSeries_327_9'],-6108.17235732,394,-6612.35319843,251,-99.428,92.3648018456,no cnx,,5.0,"[array([335, 347, 359, 371, 383, 395, 407, 419, 431, 443])]",-24.18
27,TSeries-11172017-0948-177,['TSeries_177_5'],-6137.16649803,316,-6615.78538815,242,-123.608,60.1441724216,no cnx,,5.0,"[array([181, 191, 201, 211, 221, 231, 241, 251, 261, 271])]",0.0
28,TSeries-11172017-0948-177,['TSeries_327_6'],-6124.03230357,351,-6608.3210087,262,-99.428,78.6613203277,no cnx,,5.0,"[array([332, 344, 356, 368, 380, 392, 404, 416, 428, 440])]",-24.18
29,TSeries-11172017-0948-177,['TSeries_177_4'],-6192.00427827,167,-6537.29209487,454,-123.608,93.9837127736,no cnx,,5.0,"[array([180, 190, 200, 210, 220, 230, 240, 250, 260, 270])]",0.0
30,TSeries-11172017-0948-177,['TSeries_657_10'],-6263.96950515,26,-6491.18839526,579,-49.378,172.726171123,no cnx,,5.0,"[array([666, 676, 686, 696, 706, 716, 726, 736, 746, 756, 766, 776, 786,
       796, 806])]",-74.23
31,TSeries-11172017-0948-177,['TSeries_27_1'],-6205.20084743,132,-6619.54876522,231,-114.138,17.9983658225,no cnx,,5.0,"[array([27, 37, 47, 57, 67])]",-9.47
32,TSeries-11172017-0948-177,['TSeries_657_8'],-6223.91642056,81,-6448.9848095,693,-49.378,198.842001203,no cnx,,5.0,"[array([664, 674, 684, 694, 704, 714, 724, 734, 744, 754, 764, 774, 784,
       794, 804])]",-74.23
33,TSeries-11172017-0948-177,['TSeries_177_9'],-6167.81113993,233,-6570.08723796,365,-123.608,67.0257771303,no cnx,,5.0,"[array([185, 195, 205, 215, 225, 235, 245, 255, 265, 275])]",0.0
34,TSeries-11172017-0948-177,['TSeries_27_2'],-6076.70840159,479,-6664.70929012,109,-114.138,123.590412969,no cnx,,5.0,"[array([28, 38, 48, 58, 68])]",-9.47
35,TSeries-11172017-0948-177,['TSeries_27_10'],-6087.19209487,451,-6650.46221977,148,-114.138,110.211987248,no cnx,,5.0,"[array([36, 46, 56, 66, 76])]",-9.47
36,TSeries-11172017-0948-177,['TSeries_177_7'],-6148.18781661,286,-6667.9350419,101,-123.608,59.7277659538,no cnx,,5.0,"[array([183, 193, 203, 213, 223, 233, 243, 253, 263, 273])]",0.0
37,TSeries-11172017-0948-177,['TSeries_177_3'],-6189.58496443,174,-6594.54918894,299,-123.608,37.1111423985,no cnx,,5.0,"[array([179, 189, 199, 209, 219, 229, 239, 249, 259, 269])]",0.0
38,TSeries-11172017-0948-177,['TSeries_177_8'],-6214.31572807,107,-6595.62443953,296,-123.608,40.3561929645,no cnx,,5.0,"[array([184, 194, 204, 214, 224, 234, 244, 254, 264, 274])]",0.0
39,TSeries-11172017-0948-177,['TSeries_507_7'],-6212.24032254,113,-6485.65003638,594,-99.358,148.543608605,no cnx,,5.0,"[array([513, 523, 533, 543, 553, 563, 573, 583, 593, 603, 613, 623, 633,
       643, 653])]",-24.25
40,TSeries-11172017-0948-177,['TSeries_327_10'],-6115.16148618,375,-6649.71815653,150,-99.428,85.7240978808,no cnx,,5.0,"[array([336, 348, 360, 372, 384, 396, 408, 420, 432, 444])]",-24.18
41,TSeries-11172017-0948-177,['TSeries_507_9'],-6208.20813281,124,-6527.5848095,480,-99.358,107.212972716,no cnx,,5.0,"[array([515, 525, 535, 545, 555, 565, 575, 585, 595, 605, 615, 625, 635,
       645, 655])]",-24.25
42,TSeries-11172017-0948-177,['TSeries_507_3'],-6136.70396839,317,-6588.60528064,315,-99.358,76.4006308629,no cnx,,5.0,"[array([509, 519, 529, 539, 549, 559, 569, 579, 589, 599, 609, 619, 629,
       639, 649])]",-24.25
43,TSeries-11172017-0948-177,['TSeries_27_5'],-6089.88022136,444,-6629.22602056,205,-114.138,105.860009656,no cnx,,5.0,"[array([31, 41, 51, 61, 71])]",-9.47
44,TSeries-11172017-0948-177,['TSeries_507_8'],-6232.6700838,57,-6561.18639052,389,-99.358,83.0015266503,no cnx,,5.0,"[array([514, 524, 534, 544, 554, 564, 574, 584, 594, 604, 614, 624, 634,
       644, 654])]",-24.25
45,TSeries-11172017-0948-177,['TSeries_327_12'],-6163.8165755,244,-6595.41800159,297,-99.428,53.4540537202,no cnx,,5.0,"[array([338, 350, 362, 374, 386, 398, 410, 422, 434, 446])]",-24.18
46,TSeries-11172017-0948-177,['TSeries_507_6'],-6181.32686799,196,-6489.41341345,584,-99.358,144.539954796,no cnx,,5.0,"[array([512, 522, 532, 542, 552, 562, 572, 582, 592, 602, 612, 622, 632,
       642, 652])]",-24.25
47,TSeries-11172017-0948-177,['TSeries_327_5'],-6181.82702293,195,-6586.27837155,322,-99.428,52.7796569663,no cnx,,5.0,"[array([331, 343, 355, 367, 379, 391, 403, 415, 427, 439])]",-24.18
48,TSeries-11172017-0948-177,['TSeries_327_1'],-6242.30986878,31,-6549.98866404,420,-99.428,96.9180446524,no cnx,,5.0,"[array([327, 339, 351, 363, 375, 387, 399, 411, 423, 435])]",-24.18
49,TSeries-11172017-0948-177,['TSeries_657_4'],-6301.33446325,127,-6409.20053756,801,-49.378,256.993860067,no cnx,,5.0,"[array([660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780,
       790, 800])]",-74.23
50,TSeries-11172017-0948-177,['TSeries_507_1'],-6275.68010751,58,-6536.72443953,456,-99.358,126.406344984,no cnx,,5.0,"[array([507, 517, 527, 537, 547, 557, 567, 577, 587, 597, 607, 617, 627,
       637, 647])]",-24.25
51,TSeries-11172017-0948-177,['TSeries_507_10'],-6135.6287178,320,-6550.16507194,419,-99.358,103.527574496,no cnx,,5.0,"[array([516, 526, 536, 546, 556, 566, 576, 586, 596, 606, 616, 626, 636,
       646, 656])]",-24.25
