,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,ZSeries-09272017-1008-048,-5852.46092,74,-7626.94368,339,2713.652,90.70463731,no cnx,,5,"[array([ 86,  90,  94,  98, 102, 106, 110, 114, 118, 122])]",15.44
1,ZSeries-09272017-1008-048,-5770.41242,296,-7784.75891,87,2605.872,188.3367632,no cnx,,5,"[array([298, 304, 310, 316, 322, 328, 334, 340, 346, 352])]",-92.34
2,ZSeries-09272017-1008-048,-5766.709012,306,-7797.350495,121,2592.782,205.6913248,no cnx,,5,"[array([359, 363, 367, 371, 375, 379, 383, 387, 391, 395])]",-105.43
3,ZSeries-09272017-1008-048,-5872.538672,19,-7517.97995,634,2698.282,149.9987067,no cnx,,5,"[array([127, 129, 131, 133, 135, 137, 139, 141, 143, 145])]",0.07
4,ZSeries-09272017-1008-048,-5751.154702,348,-7692.173732,163,2592.782,127.9131717,no cnx,,5,"[array([358, 362, 366, 370, 374, 378, 382, 386, 390, 394])]",-105.43
5,ZSeries-09272017-1008-048,-5748.76552,354,-7661.015026,247,2713.652,45.4903949,no cnx,,5,"[array([ 89,  93,  97, 101, 105, 109, 113, 117, 121, 125])]",15.44
6,ZSeries-09272017-1008-048,-5759.585963,325,-7780.516832,75,2681.212,160.6947229,no cnx,,5,"[array([179, 184, 189, 194, 199, 204, 209, 214, 219, 224])]",-17
7,ZSeries-09272017-1008-048,-5712.984158,451,-7729.447087,62,2642.162,132.2272448,no cnx,,5,"[array([228, 235, 242, 249, 256, 263, 270, 277, 284, 291])]",-56.05
8,ZSeries-09272017-1008-048,-5878.093782,4,-7570.938672,491,2698.282,125.1475275,no cnx,,5,"[array([126, 128, 130, 132, 134, 136, 138, 140, 142, 144])]",0.07
9,ZSeries-09272017-1008-048,-5713.724839,449,-7749.075145,9,2642.162,148.5317793,no cnx,,5,"[array([226, 233, 240, 247, 254, 261, 268, 275, 282, 289])]",-56.05
10,ZSeries-09272017-1008-048,-5712.243476,453,-7786.849898,92,2642.162,182.5686192,no cnx,,5,"[array([230, 237, 244, 251, 258, 265, 272, 279, 286, 293])]",-56.05
11,ZSeries-09272017-1008-048,-5725.434056,417,-7536.210206,585,2692.842,92.80099505,no cnx,,5,"[array([28, 34, 40, 46, 52, 58, 64, 70, 76, 82])]",-5.37
12,ZSeries-09272017-1008-048,-5776.337871,280,-7731.429848,57,2592.782,153.4011929,no cnx,,5,"[array([356, 360, 364, 368, 372, 376, 380, 384, 388, 392])]",-105.43
13,ZSeries-09272017-1008-048,-5830.69138,133,-7743.48276,24,2681.212,141.0341366,no cnx,,5,"[array([178, 183, 188, 193, 198, 203, 208, 213, 218, 223])]",-17
14,ZSeries-09272017-1008-048,-5723.05891,424,-7916.51322,443,2559.222,329.2460457,no cnx,,5,"[array([398, 404, 410, 416, 422, 428, 434, 440, 446, 452])]",-138.99
15,ZSeries-09272017-1008-048,-5808.557513,193,-7797.350495,121,2592.782,210.5850554,no cnx,,5,"[array([357, 361, 365, 369, 373, 377, 381, 385, 389, 393])]",-105.43
16,ZSeries-09272017-1008-048,-5788.238876,247,-7916.883561,444,2559.222,328.0633582,no cnx,,5,"[array([396, 402, 408, 414, 420, 426, 432, 438, 444, 450])]",-138.99
17,ZSeries-09272017-1008-048,-5694.325436,502,-7601.760512,407,2692.842,71.74055309,no cnx,,5,"[array([29, 35, 41, 47, 53, 59, 65, 71, 77, 83])]",-5.37
18,ZSeries-09272017-1008-048,-5721.872335,427,-7679.821432,196,2642.162,91.34974391,no cnx,,5,"[array([232, 239, 246, 253, 260, 267, 274, 281, 288, 295])]",-56.05
19,ZSeries-09272017-1008-048,-5803.052504,207,-7967.620239,582,2559.222,375.7741739,no cnx,,5,"[array([399, 405, 411, 417, 423, 429, 435, 441, 447, 453])]",-138.99
20,ZSeries-09272017-1008-048,-5841.721039,103,-7585.09518,452,2692.842,86.32582168,no cnx,,5,"[array([31, 37, 43, 49, 55, 61, 67, 73, 79, 85])]",-5.37
21,ZSeries-09272017-1008-048,-5758.76472,327,-7553.616219,538,2692.842,67.51711296,no cnx,,5,"[array([30, 36, 42, 48, 54, 60, 66, 72, 78, 84])]",-5.37
22,ZSeries-09272017-1008-048,-5748.562317,355,-7792.536065,108,2605.872,195.5718355,no cnx,,5,"[array([300, 306, 312, 318, 324, 330, 336, 342, 348, 354])]",-92.34
23,ZSeries-09272017-1008-048,-5727.057105,413,-7745.371738,19,2642.162,141.3544015,no cnx,,5,"[array([231, 238, 245, 252, 259, 266, 273, 280, 287, 294])]",-56.05
24,ZSeries-09272017-1008-048,-5773.349694,288,-7715.37414,100,2642.162,110.4230857,no cnx,,5,"[array([229, 236, 243, 250, 257, 264, 271, 278, 285, 292])]",-56.05
25,ZSeries-09272017-1008-048,-5794.534668,230,-7912.069132,431,2588.062,312.9952367,no cnx,,5,"[array([458, 464, 470, 476, 482, 488, 494, 500, 506, 512])]",-110.15
26,ZSeries-09272017-1008-048,-5755.57334,336,-7650.564516,275,2642.162,63.94611903,no cnx,,5,"[array([227, 234, 241, 248, 255, 262, 269, 276, 283, 290])]",-56.05
27,ZSeries-09272017-1008-048,-5684.036458,529,-7794.219438,112,2681.212,191.458891,no cnx,,5,"[array([180, 185, 190, 195, 200, 205, 210, 215, 220, 225])]",-17
28,ZSeries-09272017-1008-048,-5783.794787,260,-7932.437871,486,2559.222,341.8732484,no cnx,,5,"[array([400, 406, 412, 418, 424, 430, 436, 442, 448, 454])]",-138.99
29,ZSeries-09272017-1008-048,-5774.90661,284,-7853.184958,272,2588.062,257.4607605,no cnx,,5,"[array([461, 467, 473, 479, 485, 491, 497, 503, 509, 515])]",-110.15
30,ZSeries-09272017-1008-048,-5693.801994,503,-7948.732862,530,2559.222,362.9173568,no cnx,,5,"[array([397, 403, 409, 415, 421, 427, 433, 439, 445, 451])]",-138.99
31,ZSeries-09272017-1008-048,-5765.801193,308,-7569.170529,495,2713.652,53.91534612,no cnx,,5,"[array([ 87,  91,  95,  99, 103, 107, 111, 115, 119, 123])]",15.44
32,ZSeries-09272017-1008-048,-5713.583153,449,-7622.499592,351,2713.652,52.08204147,tbd,,5,"[[88, 92, 96, 100, 104, 108, 112, 116, 120, 124]]",15.44
33,ZSeries-09272017-1008-048,-5749.957105,351,-7633.491568,321,2681.212,25.07555905,tbd,,5,"[[177, 182, 187, 192, 197, 202, 207, 212, 217, 222]]",-17
34,ZSeries-09272017-1008-048,-5778.559915,274,-7734.022233,49,2605.872,146.9234695,no cnx,,5,"[array([299, 305, 311, 317, 323, 329, 335, 341, 347, 353])]",-92.34
35,ZSeries-09272017-1008-048,-5731.156304,402,-7793.276747,110,2605.872,198.2905549,no cnx,,5,"[array([301, 307, 313, 319, 325, 331, 337, 343, 349, 355])]",-92.34
36,ZSeries-09272017-1008-048,-5769.671738,298,-7798.091176,123,2605.872,200.0281468,no cnx,,5,"[array([296, 302, 308, 314, 320, 326, 332, 338, 344, 350])]",-92.34
37,ZSeries-09272017-1008-048,-5746.760716,360,-7883.923238,355,2588.062,285.7579936,no cnx,,5,"[array([460, 466, 472, 478, 484, 490, 496, 502, 508, 514])]",-110.15
38,ZSeries-09272017-1008-048,-5753.57995,341,-7663.607411,240,2692.842,44.25500704,tbd,,5,"[[27, 33, 39, 45, 51, 57, 63, 69, 75, 81]]",-5.37
39,ZSeries-09272017-1008-048,-5722.922233,424,-7794.589779,113,2681.212,179.25752,no cnx,,5,"[array([176, 181, 186, 191, 196, 201, 206, 211, 216, 221])]",-17
40,ZSeries-09272017-1008-048,-5772.096985,291,-7552.505197,541,2692.842,69.03616141,no cnx,,5,"[array([26, 32, 38, 44, 50, 56, 62, 68, 74, 80])]",-5.37
