,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,ZSeries-09182017-0913-037,-6672.811992,73,-6865.772168,388,-98.278,108.6528228,no cnx,,5,"[array([178, 187, 196, 205, 214, 223, 232, 241, 250, 259])]",-11
1,ZSeries-09182017-0913-037,-6596.034478,281,-6910.255249,267,-106.388,48.35674193,no cnx,,5,"[array([26, 34, 42, 50, 58, 66, 74, 82, 90, 98])]",-19.11
2,ZSeries-09182017-0913-037,-6585.048397,311,-6818.822705,515,-106.388,65.27431628,no cnx,,5,"[array([ 28,  36,  44,  52,  60,  68,  76,  84,  92, 100])]",-19.11
3,ZSeries-09182017-0913-037,-6578.314992,329,-6900.332338,294,-106.388,32.04846393,no cnx,,5,"[array([ 32,  40,  48,  56,  64,  72,  80,  88,  96, 104])]",-19.11
4,ZSeries-09182017-0913-037,-6592.719918,290,-6916.095507,252,-98.278,48.08602437,no cnx,,5,"[array([177, 186, 195, 204, 213, 222, 231, 240, 249, 258])]",-11
5,ZSeries-09182017-0913-037,-6618.590367,220,-6852.305359,424,-98.278,60.09977698,no cnx,,5,"[array([182, 191, 200, 209, 218, 227, 236, 245, 254, 263])]",-11
6,ZSeries-09182017-0913-037,-6611.273235,240,-6914.153536,257,-106.388,61.39870835,no cnx,,5,"[array([ 30,  38,  46,  54,  62,  70,  78,  86,  94, 102])]",-19.11
7,ZSeries-09182017-0913-037,-6643.168309,154,-6857.096793,411,-106.388,82.76461865,excitatory,,5,"[[31, 39, 47, 55, 63, 71, 79, 87, 95, 103]]",-19.11
8,ZSeries-09182017-0913-037,-6559.886727,379,-6886.511139,332,-106.388,21.61143079,tbd,,5,"[[27, 35, 43, 51, 59, 67, 75, 83, 91, 99]]",-19.11
9,ZSeries-09182017-0913-037,-6635.017345,176,-6900.332338,294,-78.618,73.58329535,no cnx,,5,"[array([112, 119, 126, 133, 140, 147, 154, 161, 168, 175])]",8.66
10,ZSeries-09182017-0913-037,-6575.479874,337,-6886.156749,333,-78.618,15.54371987,tbd,,5,"[[106, 113, 120, 127, 134, 141, 148, 155, 162, 169]]",8.66
11,ZSeries-09182017-0913-037,-6634.308566,177,-6874.816279,363,-78.618,69.50769032,no cnx,,5,"[array([109, 116, 123, 130, 137, 144, 151, 158, 165, 172])]",8.66
12,ZSeries-09182017-0913-037,-6623.676875,206,-6843.984374,447,-78.618,68.0497975,no cnx,,5,"[array([107, 114, 121, 128, 135, 142, 149, 156, 163, 170])]",8.66
13,ZSeries-09182017-0913-037,-6592.136191,292,-6867.728484,383,-106.388,34.43738366,tbd,,5,"[[29, 37, 45, 53, 61, 69, 77, 85, 93, 101]]",-19.11
14,ZSeries-09182017-0913-037,-6611.273235,240,-6892.535764,315,-106.388,51.74009886,no cnx,,5,"[array([ 33,  41,  49,  57,  65,  73,  81,  89,  97, 105])]",-19.11
15,ZSeries-09182017-0913-037,-6634.537904,177,-6935.94133,198,-98.278,90.81563132,no cnx,,5,"[array([183, 192, 201, 210, 219, 228, 237, 246, 255, 264])]",-11
16,ZSeries-09182017-0913-037,-6672.811992,73,-6895.895293,306,-98.278,109.4163641,no cnx,,5,"[array([179, 188, 197, 206, 215, 224, 233, 242, 251, 260])]",-11
17,ZSeries-09182017-0913-037,-6688.759529,30,-6826.43491,494,-98.278,134.1640946,no cnx,,5,"[array([184, 193, 202, 211, 220, 229, 238, 247, 256, 265])]",-11
18,ZSeries-09182017-0913-037,-6608.083728,248,-6841.503646,453,-78.618,56.85376244,no cnx,,5,"[array([111, 118, 125, 132, 139, 146, 153, 160, 167, 174])]",8.66
19,ZSeries-09182017-0913-037,-6593.19936,289,-6921.95011,236,-78.618,52.65163152,no cnx,,5,"[array([110, 117, 124, 131, 138, 145, 152, 159, 166, 173])]",8.66
20,ZSeries-09182017-0913-037,-6647.295933,142,-6879.947756,349,-98.278,82.63362493,no cnx,,5,"[array([181, 190, 199, 208, 217, 226, 235, 244, 253, 262])]",-11
21,ZSeries-09182017-0913-037,-6590.59358,296,-6895.186514,308,-98.278,32.36853064,no cnx,,5,"[array([180, 189, 198, 207, 216, 225, 234, 243, 252, 261])]",-11
22,ZSeries-09182017-0913-037,-6622.259316,210,-6920.886941,239,-78.618,71.68736838,no cnx,,5,"[array([108, 115, 122, 129, 136, 143, 150, 157, 164, 171])]",8.66
23,ZSeries-09182017-0913-037,-6634.183514,178,-6860.101933,403,-98.278,71.9192194,excitatory,,5,"[[176, 185, 194, 203, 212, 221, 230, 239, 248, 257]]",-11
