,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,TSeries-09012017-1015-051,['TSeries_1_4'],-4482.05022238,408,-487.190720379,227,179.031,73.8457655441,no cnx,,5.0,"[array([ 4,  9, 14, 19, 24, 29, 34, 39, 44, 49])]",-1.25
1,TSeries-09012017-1015-051,['TSeries_1_2'],-4574.45704255,158,-440.670848578,353,179.031,30.3895146368,inhibitory,,5.0,"[[2, 7, 12, 17, 22, 27, 32, 37, 42, 47]]",-1.25
2,TSeries-09012017-1015-051,['TSeries_51_4'],-4478.25022238,418,-482.690720379,239,177.781,75.8466464777,no cnx,,5.0,"[array([54, 59, 64, 69, 74, 79, 84, 89, 94, 99])]",0.0
3,TSeries-09012017-1015-051,['TSeries_101_1'],-4571.58504709,166,-385.295918348,503,204.911,81.4707026553,no cnx,,5.0,"[array([101, 103, 105, 107, 109, 111, 113, 115, 117, 119])]",-27.13
4,TSeries-09012017-1015-051,['TSeries_51_2'],-4570.65704255,168,-436.170848578,365,177.781,30.6500620855,inhibitory,,5.0,"[[52, 57, 62, 67, 72, 77, 82, 87, 92, 97]]",0.0
5,TSeries-09012017-1015-051,['TSeries_1_5'],-4507.0506977,340,-547.634907549,64,179.031,98.5411977516,no cnx,,5.0,"[array([ 5, 10, 15, 20, 25, 30, 35, 40, 45, 50])]",-1.25
6,TSeries-09012017-1015-051,['TSeries_51_3'],-4551.35287806,220,-515.286276811,151,177.781,56.1742559452,no cnx,,5.0,"[array([53, 58, 63, 68, 73, 78, 83, 88, 93, 98])]",0.0
7,TSeries-09012017-1015-051,['TSeries_1_1'],-4608.63490755,65,-531.49536019,107,179.031,92.9391497384,no cnx,,5.0,"[array([ 1,  6, 11, 16, 21, 26, 31, 36, 41, 46])]",-1.25
8,TSeries-09012017-1015-051,['TSeries_51_5'],-4503.2506977,351,-543.134907549,76,177.781,96.3113858818,no cnx,,5.0,"[array([ 55,  60,  65,  70,  75,  80,  85,  90,  95, 100])]",0.0
9,TSeries-09012017-1015-051,['TSeries_51_1'],-4604.83490755,76,-526.99536019,119,177.781,87.0426153193,no cnx,,5.0,"[array([51, 56, 61, 66, 71, 76, 81, 86, 91, 96])]",0.0
10,TSeries-09012017-1015-051,['TSeries_1_3'],-4555.15287806,210,-519.786276811,139,179.031,60.868469087,no cnx,,5.0,"[array([ 3,  8, 13, 18, 23, 28, 33, 38, 43, 48])]",-1.25
11,TSeries-09012017-1015-051,['TSeries_101_2'],-4456.07652187,478,-414.410395938,424,204.911,107.800827521,no cnx,,5.0,"[array([102, 104, 106, 108, 110, 112, 114, 116, 118, 120])]",-27.13
