index,MP_ID,rad_um,sweeps,X_mm,Y_mm,Z_mm,mW,electrode_1,z_electrode_1,electrode_1_cnx,notes,Y_pix,Image,X_pix
34,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[366, 413, 460, 507, 554, 601, 648, 695, 742, 789]",-3033.56529121,160.074937639,14.233,20.0902185554,6.8474036406,0.0,tbd,,,,
35,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[367, 414, 461, 508, 555, 602, 649, 696, 743, 790]",-2956.54032863,147.992590567,14.233,20.0902185554,81.2039247124,0.0,no cnx,,,,
36,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[368, 415, 462, 509, 556, 603, 650, 697, 744, 791]",-3208.25589262,55.3612630158,14.233,20.0902185554,205.415940293,0.0,no cnx,,,,
37,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[369, 416, 463, 510, 557, 604, 651, 698, 745, 792]",-3207.7524615,39.2514669199,14.233,20.0902185554,214.164240844,0.0,no cnx,,,,
38,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[370, 417, 464, 511, 558, 605, 652, 699, 746, 793]",-2921.8035808,79.0225260315,14.233,20.0902185554,143.589995656,0.0,tbd,,,,
39,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[371, 418, 465, 512, 559, 606, 653, 700, 747, 794]",-2962.58150216,108.221531455,14.233,20.0902185554,93.4824296687,0.0,no cnx,,,,
40,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[372, 419, 466, 513, 560, 607, 654, 701, 748, 795]",-2875.99134815,102.180357919,14.233,20.0902185554,172.106455794,0.0,tbd,,,,
41,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[373, 420, 467, 514, 561, 608, 655, 702, 749, 796]",-2873.97762364,68.9539034716,14.233,20.0902185554,188.82157433,0.0,no cnx,,,,
42,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[374, 421, 468, 515, 562, 609, 656, 703, 750, 797]",-2908.21094034,117.283291759,14.233,20.0902185554,136.589502687,0.0,no cnx,,,,
43,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[375, 422, 469, 516, 563, 610, 657, 704, 751, 798]",-2941.94082591,132.889656727,14.233,20.0902185554,99.5279647701,0.0,no cnx,,,,
44,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[376, 423, 470, 517, 564, 611, 658, 705, 752, 799]",-3018.9657885,134.399950111,14.233,20.0902185554,36.2505370965,0.0,tbd,,,,
45,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[377, 424, 471, 518, 565, 612, 659, 706, 753, 800]",-2991.27707646,193.804823214,14.233,20.0902185554,51.9778926156,0.0,tbd,,,,
46,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[378, 425, 472, 519, 566, 613, 660, 707, 754, 801]",-3001.34569902,208.404325926,14.233,20.0902185554,54.0174797172,0.0,tbd,,,,
47,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[379, 426, 473, 520, 567, 614, 661, 708, 755, 802]",-2961.07120878,232.065588942,14.233,20.0902185554,99.1695432893,0.0,no cnx,,,,
48,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[380, 427, 474, 521, 568, 615, 662, 709, 756, 803]",-2944.45798155,180.212182758,14.233,20.0902185554,92.1292719077,0.0,tbd,,,,
49,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[381, 428, 475, 522, 569, 616, 663, 710, 757, 804]",-3125.69318763,187.763649678,14.233,20.0902185554,92.5615322687,0.0,no cnx,,,,
50,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[382, 429, 476, 523, 570, 617, 664, 711, 758, 805]",-3090.45300867,205.887170286,14.233,20.0902185554,67.4766753026,0.0,tbd,,,,
51,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[383, 430, 477, 524, 571, 618, 665, 712, 759, 806]",-3137.7755347,301.539084605,14.233,20.0902185554,169.255461913,0.0,no cnx,,,,
52,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[384, 431, 478, 525, 572, 619, 666, 713, 760, 807]",-3097.50104447,307.580258141,14.233,20.0902185554,153.96188182,0.0,excitatory,,,,
53,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[385, 432, 479, 526, 573, 620, 667, 714, 761, 808]",-3001.34569902,375.54346042,14.233,20.0902185554,211.709998664,0.0,no cnx,,,,
54,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[386, 433, 480, 527, 574, 621, 668, 715, 762, 809]",-3150.86474403,393.666981028,14.233,20.0902185554,254.639624929,0.0,no cnx,,,,
55,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[387, 434, 481, 528, 575, 622, 669, 716, 763, 810]",-2982.21531615,338.289556949,14.233,20.0902185554,179.772852122,0.0,excitatory,,,,
56,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[388, 435, 482, 529, 576, 623, 670, 717, 764, 811]",-2977.18100487,314.124862805,14.233,20.0902185554,158.6447202,0.0,no cnx,,,,
57,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[389, 436, 483, 530, 577, 624, 671, 718, 765, 812]",-2912.23838936,336.275832437,14.233,20.0902185554,209.752632624,0.0,no cnx,,,,
58,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[390, 437, 484, 531, 578, 625, 672, 719, 766, 813]",-2950.49915509,360.440526581,14.233,20.0902185554,211.672285932,0.0,no cnx,,,,
59,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[391, 438, 485, 532, 579, 626, 673, 720, 767, 814]",-2929.85847884,378.06061606,14.233,20.0902185554,236.398307079,0.0,no cnx,,,,
60,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[392, 439, 486, 533, 580, 627, 674, 721, 768, 815]",-2914.755545,305.566533629,14.233,20.0902185554,184.131956692,0.0,no cnx,,,,
61,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[393, 440, 487, 534, 581, 628, 675, 722, 769, 816]",-2920.29328741,229.045002174,14.233,20.0902185554,131.102010634,0.0,tbd,,,,
62,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[394, 441, 488, 535, 582, 629, 676, 723, 770, 817]",-2968.6226757,198.335703366,14.233,20.0902185554,74.0882334918,0.0,tbd,,,,
63,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[395, 442, 489, 536, 583, 630, 677, 724, 771, 818]",-3067.29517679,244.147936014,14.233,20.0902185554,83.7649491378,0.0,tbd,,,,
64,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[396, 443, 490, 537, 584, 631, 678, 725, 772, 819]",-3100.52163123,253.713127446,14.233,20.0902185554,108.640857335,0.0,excitatory,,,,
65,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[397, 444, 491, 538, 585, 632, 679, 726, 773, 820]",-3167.98140238,264.788612262,14.233,20.0902185554,164.825842302,0.0,no cnx,,,,
66,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[398, 445, 492, 539, 586, 633, 680, 727, 774, 821]",-3224.36568872,176.688164863,14.233,20.0902185554,189.05497894,0.0,no cnx,,,,
67,TSeries-11272017-1401-366_Cycle00002_MarkPoints.xml,5.0,"[399, 446, 493, 540, 587, 634, 681, 728, 775, 822]",-3184.59462961,157.054350871,14.233,20.0902185554,149.322289257,0.0,excitatory,,,,
