,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,ZSeries-01082018-0915-237,['TSeries_28_1'],-5122.90088881,85,4185.46999872,101,-342.43,145.608431406,no cnx,,5.0,"[array([ 28,  38,  48,  58,  68,  78,  88,  98, 108, 118])]",-43.01
1,ZSeries-01082018-0915-237,['TSeries_28_2'],-5075.32981447,213,4232.08487057,23,-342.43,91.3922143479,tbd,,5.0,"[[29, 39, 49, 59, 69, 79, 89, 99, 109, 119]]",-43.01
2,ZSeries-01082018-0915-237,['TSeries_28_9'],-5129.11620505,68,4287.54461553,173,-342.43,80.7741751242,no cnx,,5.0,"[array([ 36,  46,  56,  66,  76,  86,  96, 106, 116, 126])]",-43.01
3,ZSeries-01082018-0915-237,['TSeries_28_7'],-5147.76215379,18,4304.99531114,220,-342.43,93.2699770347,no cnx,,5.0,"[array([ 34,  44,  54,  64,  74,  84,  94, 104, 114, 124])]",-43.01
4,ZSeries-01082018-0915-237,['TSeries_28_6'],-5076.28601696,211,4268.42056554,121,-342.43,62.275116285,tbd,,5.0,"[[33, 43, 53, 63, 73, 83, 93, 103, 113, 123]]",-43.01
5,ZSeries-01082018-0915-237,['TSeries_28_4'],-5087.99949758,179,4251.44797118,76,-342.43,77.7389703176,tbd,,5.0,"[[31, 41, 51, 61, 71, 81, 91, 101, 111, 121]]",-43.01
6,ZSeries-01082018-0915-237,['TSeries_28_10'],-5116.92462319,101,4263.40050242,108,-342.43,82.980861352,no cnx,,5.0,"[array([ 37,  47,  57,  67,  77,  87,  97, 107, 117, 127])]",-43.01
7,ZSeries-01082018-0915-237,['TSeries_28_8'],-5111.18740819,117,4304.99531114,220,-342.43,63.2881936441,no cnx,,5.0,"[array([ 35,  45,  55,  65,  75,  85,  95, 105, 115, 125])]",-43.01
8,ZSeries-01082018-0915-237,['TSeries_28_5'],-5098.99582632,150,4225.6305037,6,-342.43,102.281897631,tbd,,5.0,"[[32, 42, 52, 62, 72, 82, 92, 102, 112, 122]]",-43.01
9,ZSeries-01082018-0915-237,['TSeries_28_3'],-5119.79323068,94,4239.97354119,45,-342.43,100.103544952,no cnx,,5.0,"[array([ 30,  40,  50,  60,  70,  80,  90, 100, 110, 120])]",-43.01
0,ZSeries-01082018-0915-237,['TSeries_128_8'],-5023.92614321,352,4326.10005802,277,-313.34,84.3016315523,tbd,,5.0,"[[135, 145, 155, 165, 175, 185, 195, 205, 215, 225]]",-72.1
1,ZSeries-01082018-0915-237,['TSeries_128_10'],-5060.26183818,254,4335.42303238,302,-313.34,75.9465801326,no cnx,,5.0,"[array([137, 147, 157, 167, 177, 187, 197, 207, 217, 227])]",-72.1
2,ZSeries-01082018-0915-237,['TSeries_128_7'],-5081.29829317,197,4298.37018553,202,-313.34,75.117410168,tbd,,5.0,"[[134, 144, 154, 164, 174, 184, 194, 204, 214, 224]]",-72.1
3,ZSeries-01082018-0915-237,['TSeries_128_2'],-4965.59779075,509,4287.85195804,174,-313.34,125.411702747,no cnx,,5.0,"[array([129, 139, 149, 159, 169, 179, 189, 199, 209, 219])]",-72.1
4,ZSeries-01082018-0915-237,['TSeries_128_3'],-5052.37316756,275,4287.37385679,172,-313.34,77.3110017939,tbd,,5.0,"[[130, 140, 150, 160, 170, 180, 190, 200, 210, 220]]",-72.1
5,ZSeries-01082018-0915-237,['TSeries_128_5'],-5108.5500644,124,4276.37752805,143,-313.34,91.3478717399,no cnx,,5.0,"[array([132, 142, 152, 162, 172, 182, 192, 202, 212, 222])]",-72.1
6,ZSeries-01082018-0915-237,['TSeries_128_6'],-4983.04848636,462,4344.2679055,326,-313.34,114.015856141,no cnx,,5.0,"[array([133, 143, 153, 163, 173, 183, 193, 203, 213, 223])]",-72.1
7,ZSeries-01082018-0915-237,['TSeries_128_4'],-4982.57038511,463,4231.67506121,22,-313.34,136.057313789,no cnx,,5.0,"[array([131, 141, 151, 161, 171, 181, 191, 201, 211, 221])]",-72.1
8,ZSeries-01082018-0915-237,['TSeries_128_1'],-5064.08664818,244,4242.43233932,51,-313.34,100.266110318,no cnx,,5.0,"[array([128, 138, 148, 158, 168, 178, 188, 198, 208, 218])]",-72.1
9,ZSeries-01082018-0915-237,['TSeries_128_9'],-5109.26721627,122,4303.39024866,216,-313.34,84.8929337101,no cnx,,5.0,"[array([136, 146, 156, 166, 176, 186, 196, 206, 216, 226])]",-72.1
