,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,TSeries-09182017-0959-027,"['TSeries_27_7', 'TSeries_80_7']",-1686.24898611,266,6724.98158636,96,-255.964,54.9125267756,tbd,,5.0,"[[33, 43, 53, 63, 73], [86, 96, 106, 116, 126]]",24.74
1,TSeries-09182017-0959-027,"['TSeries_27_6', 'TSeries_80_6']",-1716.58039706,185,6735.64497302,125,-255.964,62.8369922798,no cnx,,5.0,"[array([32, 42, 52, 62, 72]), array([ 85,  95, 105, 115, 125])]",24.74
2,TSeries-09182017-0959-027,"['TSeries_27_10', 'TSeries_80_10']",-1763.73626253,58,6763.84370664,201,-255.964,95.8464678963,tbd,,5.0,"[[36, 46, 56, 66, 76], [89, 99, 109, 119, 129]]",24.74
3,TSeries-09182017-0959-027,"['TSeries_27_4', 'TSeries_80_4']",-1716.81736121,184,6786.11833656,261,-255.964,53.6213454399,no cnx,,5.0,"[array([30, 40, 50, 60, 70]), array([ 83,  93, 103, 113, 123])]",24.74
4,TSeries-09182017-0959-027,"['TSeries_27_1', 'TSeries_80_1']",-1772.26697186,35,6849.15079994,430,-255.964,129.483449833,tbd,,5.0,"[[27, 37, 47, 57, 67], [80, 90, 100, 110, 120]]",24.74
5,TSeries-09182017-0959-027,"['TSeries_27_5', 'TSeries_80_5']",-1728.42860447,153,6719.53141095,81,-255.964,81.1181629072,no cnx,,5.0,"[array([31, 41, 51, 61, 71]), array([ 84,  94, 104, 114, 124])]",24.74
6,TSeries-09182017-0959-027,"['TSeries_27_3', 'TSeries_80_3']",-1733.64181572,139,6784.69655167,257,-255.964,68.1554510214,no cnx,,5.0,"[array([29, 39, 49, 59, 69]), array([ 82,  92, 102, 112, 122])]",24.74
7,TSeries-09182017-0959-027,"['TSeries_27_8', 'TSeries_80_8']",-1664.68524864,324,6788.48797804,267,-255.964,30.6451670428,no cnx,,5.0,"[array([34, 44, 54, 64, 74]), array([ 87,  97, 107, 117, 127])]",24.74
8,TSeries-09182017-0959-027,"['TSeries_27_9', 'TSeries_80_9']",-1695.72755203,241,6697.25678103,21,-255.964,82.1336194349,tbd,,5.0,"[[35, 45, 55, 65, 75], [88, 98, 108, 118, 128]]",24.74
9,TSeries-09182017-0959-027,"['TSeries_27_2', 'TSeries_80_2']",-1745.25305898,107,6832.56330957,386,-255.964,98.7757635047,no cnx,,5.0,"[array([28, 38, 48, 58, 68]), array([ 81,  91, 101, 111, 121])]",24.74
0,TSeries-09182017-0959-027,"['TSeries_149_7', 'TSeries_224_7']",-1648.33472242,368,6731.14265421,112,-297.494,49.6418004813,tbd,,5.0,"[[155, 170, 185, 200, 215], [230, 245, 260, 275, 290]]",16.79
1,TSeries-09182017-0959-027,"['TSeries_149_11', 'TSeries_224_11']",-1742.8834175,114,6793.93815344,282,-297.494,76.6460833919,no cnx,,5.0,"[array([159, 174, 189, 204, 219]), array([234, 249, 264, 279, 294])]",16.79
2,TSeries-09182017-0959-027,"['TSeries_149_15', 'TSeries_224_15']",-1759.47090786,69,6870.24060912,487,-297.494,133.156185763,no cnx,,5.0,"[array([163, 178, 193, 208, 223]), array([238, 253, 268, 283, 298])]",16.79
3,TSeries-09182017-0959-027,"['TSeries_149_3', 'TSeries_224_3']",-1728.90253276,151,6791.80547611,276,-297.494,63.1122326287,no cnx,,5.0,"[array([151, 166, 181, 196, 211]), array([226, 241, 256, 271, 286])]",16.79
4,TSeries-09182017-0959-027,"['TSeries_149_12', 'TSeries_224_12']",-1642.41061872,384,6797.72957981,292,-297.494,42.4591196644,tbd,,5.0,"[[160, 175, 190, 205, 220], [235, 250, 265, 280, 295]]",16.79
5,TSeries-09182017-0959-027,"['TSeries_149_4', 'TSeries_224_4']",-1712.78897069,195,6789.19887048,269,-297.494,47.8973280076,no cnx,,5.0,"[array([152, 167, 182, 197, 212]), array([227, 242, 257, 272, 287])]",16.79
6,TSeries-09182017-0959-027,"['TSeries_149_8', 'TSeries_224_8']",-1645.96508094,375,6749.15192946,161,-297.494,37.976011441,tbd,,5.0,"[[156, 171, 186, 201, 216], [231, 246, 261, 276, 291]]",16.79
7,TSeries-09182017-0959-027,"['TSeries_149_1', 'TSeries_224_1']",-1772.503936,34,6862.65775638,467,-297.494,136.958451835,no cnx,,5.0,"[array([149, 164, 179, 194, 209]), array([224, 239, 254, 269, 284])]",16.79
8,TSeries-09182017-0959-027,"['TSeries_149_6', 'TSeries_224_6']",-1724.1632498,164,6766.21334812,207,-297.494,55.5739377811,no cnx,,5.0,"[array([154, 169, 184, 199, 214]), array([229, 244, 259, 274, 289])]",16.79
9,TSeries-09182017-0959-027,"['TSeries_149_2', 'TSeries_224_2']",-1735.06360061,135,6820.24117388,353,-297.494,81.727043228,no cnx,,5.0,"[array([150, 165, 180, 195, 210]), array([225, 240, 255, 270, 285])]",16.79
10,TSeries-09182017-0959-027,"['TSeries_149_5', 'TSeries_224_5']",-1755.2055532,81,6721.19015999,86,-297.494,99.2307592083,no cnx,,5.0,"[array([153, 168, 183, 198, 213]), array([228, 243, 258, 273, 288])]",16.79
11,TSeries-09182017-0959-027,"['TSeries_149_14', 'TSeries_224_14']",-1746.43787972,104,6732.56443909,116,-297.494,86.2271101379,no cnx,,5.0,"[array([162, 177, 192, 207, 222]), array([237, 252, 267, 282, 297])]",16.79
12,TSeries-09182017-0959-027,"['TSeries_149_10', 'TSeries_224_10']",-1776.53232652,23,6771.90048767,222,-297.494,106.391808855,no cnx,,5.0,"[array([158, 173, 188, 203, 218]), array([233, 248, 263, 278, 293])]",16.79
13,TSeries-09182017-0959-027,"['TSeries_149_13', 'TSeries_224_13']",-1613.50099266,462,6733.27533154,118,-297.494,71.5624822426,no cnx,,5.0,"[array([161, 176, 191, 206, 221]), array([236, 251, 266, 281, 296])]",16.79
14,TSeries-09182017-0959-027,"['TSeries_149_9', 'TSeries_224_9']",-1655.68061101,349,6714.08123555,67,-297.494,62.0823373986,no cnx,,5.0,"[array([157, 172, 187, 202, 217]), array([232, 247, 262, 277, 292])]",16.79
0,TSeries-09182017-0959-027,"['TSeries_299_14', 'TSeries_374_14']",-1706.50358519,212,6671.03456825,48,-298.514,108.087857731,no cnx,,5.0,"[array([312, 327, 342, 357, 372]), array([387, 402, 417, 432, 447])]",17.81
1,TSeries-09182017-0959-027,"['TSeries_299_6', 'TSeries_374_6']",-1624.27702582,433,6590.46675791,265,-298.514,188.147671128,no cnx,,5.0,"[array([304, 319, 334, 349, 364]), array([379, 394, 409, 424, 439])]",17.81
2,TSeries-09182017-0959-027,"['TSeries_299_7', 'TSeries_374_7']",-1567.64259443,586,6606.58031998,222,-298.514,195.885497616,no cnx,,5.0,"[array([305, 320, 335, 350, 365]), array([380, 395, 410, 425, 440])]",17.81
3,TSeries-09182017-0959-027,"['TSeries_299_10', 'TSeries_374_10']",-1568.59045103,583,6645.20547611,118,-298.514,164.041341474,no cnx,,5.0,"[array([308, 323, 338, 353, 368]), array([383, 398, 413, 428, 443])]",17.81
4,TSeries-09182017-0959-027,"['TSeries_299_4', 'TSeries_374_4']",-1641.57540863,387,6644.25761952,121,-298.514,132.133373703,no cnx,,5.0,"[array([302, 317, 332, 347, 362]), array([377, 392, 407, 422, 437])]",17.81
5,TSeries-09182017-0959-027,"['TSeries_299_5', 'TSeries_374_5']",-1681.62234965,279,6591.17765035,264,-298.514,181.707984089,no cnx,,5.0,"[array([303, 318, 333, 348, 363]), array([378, 393, 408, 423, 438])]",17.81
6,TSeries-09182017-0959-027,"['TSeries_299_11', 'TSeries_374_11']",-1682.57020624,276,6715.34686393,70,-298.514,60.157292873,no cnx,,5.0,"[array([309, 324, 339, 354, 369]), array([384, 399, 414, 429, 444])]",17.81
7,TSeries-09182017-0959-027,"['TSeries_299_13', 'TSeries_374_13']",-1555.32045873,619,6612.74138782,205,-298.514,197.698820879,no cnx,,5.0,"[array([311, 326, 341, 356, 371]), array([386, 401, 416, 431, 446])]",17.81
8,TSeries-09182017-0959-027,"['TSeries_299_9', 'TSeries_374_9']",-1607.21560716,479,6584.30569006,282,-298.514,198.928590486,no cnx,,5.0,"[array([307, 322, 337, 352, 367]), array([382, 397, 412, 427, 442])]",17.81
9,TSeries-09182017-0959-027,"['TSeries_299_3', 'TSeries_374_3']",-1673.56556861,301,6649.70779492,106,-298.514,123.328601907,no cnx,,5.0,"[array([301, 316, 331, 346, 361]), array([376, 391, 406, 421, 436])]",17.81
10,TSeries-09182017-0959-027,"['TSeries_299_12', 'TSeries_374_12']",-1580.91258672,550,6565.58552236,333,-298.514,225.859067303,no cnx,,5.0,"[array([310, 325, 340, 355, 370]), array([385, 400, 415, 430, 445])]",17.81
