,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,ZSeries-10102017-0901-060,-6061.986779,116,-7573.308535,6,-394.048,138.0035369,no cnx,,5,"[array([273, 279, 285, 291, 297, 303, 309, 315, 321, 327])]",-33.54
1,ZSeries-10102017-0901-060,-6020.561692,228,-7532.479492,116,-394.048,83.73167821,inhibitory,,5,"[[270, 276, 282, 288, 294, 300, 306, 312, 318, 324]]",-33.54
2,ZSeries-10102017-0901-060,-5964.009159,381,-7479.701491,259,-369.658,23.06745137,inhibitory,,5,"[[32, 40, 48, 56, 64, 72, 80, 88, 96, 104]]",-9.15
3,ZSeries-10102017-0901-060,-5946.425848,429,-7381.950206,523,-369.658,92.0591511,no cnx,,5,"[array([ 31,  39,  47,  55,  63,  71,  79,  87,  95, 103])]",-9.15
4,ZSeries-10102017-0901-060,-5990.533136,310,-7467.48258,292,-369.658,13.34859818,inhibitory,,5,"[[29, 37, 45, 53, 61, 69, 77, 85, 93, 101]]",-9.15
5,ZSeries-10102017-0901-060,-5990.235113,311,-7442.150692,361,-369.658,27.96270817,inhibitory,,5,"[[34, 42, 50, 58, 66, 74, 82, 90, 98, 106]]",-9.15
6,ZSeries-10102017-0901-060,-5946.950206,428,-7499.697049,205,-394.048,57.89936143,no cnx,,5,"[array([272, 278, 284, 290, 296, 302, 308, 314, 320, 326])]",-33.54
7,ZSeries-10102017-0901-060,-5948.810026,423,-7464.502358,300,-369.658,33.3886542,inhibitory,,5,"[[35, 43, 51, 59, 67, 75, 83, 91, 99, 107]]",-9.15
8,ZSeries-10102017-0901-060,-6014.07689,246,-7408.772205,451,-369.658,67.53698583,no cnx,,5,"[array([ 33,  41,  49,  57,  65,  73,  81,  89,  97, 105])]",-9.15
9,ZSeries-10102017-0901-060,-6006.256626,267,-7564.665891,29,-394.048,106.4897037,no cnx,,5,"[array([274, 280, 286, 292, 298, 304, 310, 316, 322, 328])]",-33.54
10,ZSeries-10102017-0901-060,-5933.312871,465,-7390.59285,500,-369.658,90.3133715,no cnx,,5,"[array([ 36,  44,  52,  60,  68,  76,  84,  92, 100, 108])]",-9.15
11,ZSeries-10102017-0901-060,-5991.95156,306,-7471.086916,282,-394.048,35.58796834,no cnx,,5,"[array([269, 275, 281, 287, 293, 299, 305, 311, 317, 323])]",-33.54
12,ZSeries-10102017-0901-060,-6005.362559,270,-7605.494934,80,-394.048,144.7420057,no cnx,,5,"[array([271, 277, 283, 289, 295, 301, 307, 313, 319, 325])]",-33.54
