index,MP_ID,rad_um,sweeps,X_mm,Y_mm,Z_mm,mW,electrode_1,X_rotate,Y_rotate,z_electrode_1,electrode_1_cnx,notes,Y_pix,Image,X_pix
181,TSeries-09152017-1301-026_Cycle00002_MarkPoints.xml,5.0,"[27, 30, 33, 36, 39, 42, 45, 48, 51, 54]",-4179.00344833,925.692264851,26.698,12.4442479567,56.3142692891,1.58015670788,56.2920956293,0.0,no cnx,,,,
182,TSeries-09152017-1301-026_Cycle00002_MarkPoints.xml,5.0,"[28, 31, 34, 37, 40, 43, 46, 49, 52, 55]",-4148.90900153,1003.65346956,26.698,12.4442479567,83.9431906988,79.6537380141,26.4903998662,0.0,no cnx,,,,
184,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[67, 75, 83, 91, 99, 107, 115, 123, 131, 139]",-4176.63380685,923.322623371,26.698,12.4442479567,56.3142692891,1.58015670788,56.2920956293,0.0,no cnx,,,,
185,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[68, 76, 84, 92, 100, 108, 116, 124, 132, 140]",-4165.73345604,977.11348498,26.698,12.4442479567,56.5039011079,48.848315518,28.3995230852,0.0,excitatory,,,,
186,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[69, 77, 85, 93, 101, 109, 117, 125, 133, 141]",-4242.74680416,897.019602937,26.698,12.4442479567,66.951912623,-62.2050267991,24.7607197955,0.0,no cnx,,,,
187,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[70, 78, 86, 94, 102, 110, 118, 126, 134, 142]",-4191.79951233,957.208496543,26.698,12.4442479567,27.8470684827,16.6144303118,22.3477052177,0.0,tbd,,,,
188,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[71, 79, 87, 95, 103, 111, 119, 127, 135, 143]",-4183.03183885,1011.47328645,26.698,12.4442479567,63.2476798923,62.8077468061,-7.44687537864,0.0,tbd,,,,
189,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[72, 80, 88, 96, 104, 112, 120, 128, 136, 144]",-4136.34990168,993.937939492,26.698,12.4442479567,89.9018993036,81.0127573753,38.978002012,0.0,no cnx,,,,
190,TSeries-09152017-1301-066_Cycle00002_MarkPoints.xml,5.0,"[73, 81, 89, 97, 105, 113, 121, 129, 137, 145]",-4247.72305127,971.900273722,26.698,12.4442479567,30.679308159,-9.88760302182,-29.0423011416,0.0,excitatory,,,,
192,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[147, 156, 165, 174, 183, 192, 201, 210, 219, 228]",-4165.47295295,930.017420985,26.698,12.4442479567,55.799899766,1.43913546018,55.7813383044,0.0,no cnx,,,,
193,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[148, 157, 166, 175, 184, 193, 202, 211, 220, 229]",-4298.64680416,862.719602937,26.698,12.4442479567,137.695949601,-137.683589598,1.84490968744,0.0,no cnx,,,,
194,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[149, 158, 167, 176, 185, 194, 203, 212, 221, 230]",-4228.03148804,899.212081737,26.698,12.4442479567,70.0203997399,-63.3135235143,29.9040819947,0.0,no cnx,,,,
195,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[150, 159, 168, 177, 186, 195, 204, 213, 222, 231]",-4264.28700269,925.041173875,26.698,12.4442479567,69.8622393629,-68.3784418484,-14.3220521986,0.0,no cnx,,,,
196,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[151, 160, 169, 178, 187, 196, 205, 214, 223, 232]",-4237.98398226,976.225429856,26.698,12.4442479567,31.6974426344,-12.7409708585,-29.0240509086,0.0,no cnx,,,,
197,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[152, 161, 170, 179, 188, 197, 206, 215, 224, 233]",-4187.74758287,969.353469562,26.698,12.4442479567,20.3761611495,15.7668797922,12.9071083055,0.0,tbd,,,,
198,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[153, 162, 171, 180, 189, 198, 207, 216, 225, 234]",-4174.95151887,959.87490364,26.698,12.4442479567,33.5536547884,17.2851706342,28.7588356129,0.0,tbd,,,,
199,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[154, 163, 172, 181, 190, 199, 208, 217, 226, 235]",-4150.54421162,978.595071336,26.698,12.4442479567,58.6542512809,47.5286426896,34.3707625375,0.0,tbd,,,,
201,TSeries-09152017-1301-263_Cycle00002_MarkPoints.xml,5.0,"[264, 270, 276, 282, 288, 294, 300, 306, 312, 318]",-4189.37646106,919.050526216,26.698,12.4442479567,49.4545936907,1.77237107135,49.4228240583,0.0,no cnx,,,,
202,TSeries-09152017-1301-263_Cycle00002_MarkPoints.xml,5.0,"[265, 271, 277, 283, 289, 295, 301, 307, 313, 319]",-4236.05839823,910.282852738,26.698,12.4442479567,41.4585690598,-35.9795930281,20.59810268,0.0,no cnx,,,,
203,TSeries-09152017-1301-263_Cycle00002_MarkPoints.xml,5.0,"[266, 272, 278, 284, 290, 296, 302, 308, 314, 320]",-4158.09719352,993.457268706,26.698,12.4442479567,81.2838840502,77.9972719912,22.8800211586,0.0,no cnx,,,,
204,TSeries-09152017-1301-263_Cycle00002_MarkPoints.xml,5.0,"[267, 273, 279, 285, 291, 297, 303, 309, 315, 321]",-4136.77042019,1022.36689477,26.698,12.4442479567,115.391564796,113.751707773,19.3845867822,0.0,no cnx,,,,
205,TSeries-09152017-1301-263_Cycle00002_MarkPoints.xml,5.0,"[268, 274, 280, 286, 292, 298, 304, 310, 316, 322]",-4110.23043561,1060.04419431,26.698,12.4442479567,160.114309391,159.510113941,13.896604705,0.0,no cnx,,,,
207,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[297, 306, 315, 324, 333, 342, 351, 360, 369, 378]",-4189.40056476,917.002669624,26.698,12.4442479567,52.9385543866,4.45035174424,52.7511602706,0.0,no cnx,,,,
208,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[298, 307, 316, 325, 334, 343, 352, 361, 370, 379]",-4175.41968002,964.632463383,26.698,12.4442479567,58.2975149709,49.2012243955,31.2704296382,0.0,no cnx,,,,
209,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[299, 308, 317, 326, 335, 344, 353, 362, 371, 380]",-4160.0170104,1050.17652083,26.698,12.4442479567,123.933155603,123.079245704,-14.5233031633,0.0,no cnx,,,,
210,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[300, 309, 318, 327, 336, 345, 354, 363, 372, 381]",-4148.168803,1079.32311104,26.698,12.4442479567,154.736681465,152.667381603,-25.2212447219,0.0,no cnx,,,,
211,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[301, 310, 319, 328, 337, 346, 355, 364, 373, 382]",-4129.21167115,1033.58903047,26.698,12.4442479567,132.799960242,131.365133402,19.4687227807,0.0,no cnx,,,,
212,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[302, 311, 320, 329, 338, 347, 356, 365, 374, 383]",-4110.01757516,1020.79296647,26.698,12.4442479567,141.183311003,134.699161747,42.2949539573,0.0,no cnx,,,,
213,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[303, 312, 321, 330, 339, 348, 357, 366, 375, 384]",-4076.13170199,1032.64117388,26.698,12.4442479567,176.525566937,166.178170633,59.5490670583,0.0,no cnx,,,,
214,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[304, 313, 322, 331, 340, 349, 358, 367, 376, 385]",-4066.17920777,1021.74082306,26.698,12.4442479567,180.692427058,164.737149823,74.2389699847,0.0,no cnx,,,,
215,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[386, 396, 406, 416, 426, 436, 446, 456, 466, 476]",-4192.58109868,983.33070933,26.698,12.4442479567,22.9197704981,22.9197398321,-0.0374928824502,0.0,no cnx,,,,
216,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[387, 397, 407, 417, 427, 437, 447, 457, 467, 477]",-4200.87484387,999.918199694,26.698,12.4442479567,34.368731305,29.6970487211,-17.3001441835,0.0,no cnx,,,,
217,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[388, 398, 408, 418, 428, 438, 448, 458, 468, 478]",-4187.13092328,1039.49121242,26.698,12.4442479567,76.104113124,68.302006273,-33.5659347177,0.0,no cnx,,,,
218,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[389, 399, 409, 419, 429, 439, 449, 459, 469, 479]",-4186.42003084,1069.11173093,26.698,12.4442479567,105.055972915,90.7900212217,-52.8576341857,0.0,no cnx,,,,
219,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[390, 400, 410, 420, 430, 440, 450, 460, 470, 480]",-4202.29662876,1112.95009832,26.698,12.4442479567,146.783754745,112.744759512,-93.9898391298,0.0,no cnx,,,,
220,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[391, 401, 411, 421, 431, 441, 451, 461, 471, 481]",-4061.53992481,1154.89275252,26.698,12.4442479567,238.737604617,238.098844613,-17.4523365824,0.0,no cnx,,,,
