MP_ID,rad_um,sweeps,X_mm,Y_mm,Z_mm,mW,electrode_1,z_electrode_1,electrode_1_cnx,notes,Y_pix,Image,X_pix
,,,,,,,,,,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[27, 37, 47, 57, 67, 77, 87, 97, 107, 117]",-8899.89234194,153.453683511,240.272,12.4442479567,94.5926331034,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[28, 38, 48, 58, 68, 78, 88, 98, 108, 118]",-8865.53254047,160.799572101,240.272,12.4442479567,112.651719201,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[29, 39, 49, 59, 69, 79, 89, 99, 109, 119]",-8849.65594255,184.022058611,240.272,12.4442479567,140.591450108,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[30, 40, 50, 60, 70, 80, 90, 100, 110, 120]",-8819.08756745,74.3076580605,240.272,12.4442479567,98.390641785,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[31, 41, 51, 61, 71, 81, 91, 101, 111, 121]",-8803.92186198,87.8146144997,240.272,12.4442479567,115.865776209,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[32, 42, 52, 62, 72, 82, 92, 102, 112, 122]",-8776.67098495,125.254949893,240.272,12.4442479567,154.149868345,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[33, 43, 53, 63, 73, 83, 93, 103, 113, 123]",-8770.9838454,132.600838482,240.272,12.4442479567,162.458064436,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[34, 44, 54, 64, 74, 84, 94, 104, 114, 124]",-8760.79438703,54.4026696237,240.272,12.4442479567,155.798115761,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[35, 45, 55, 65, 75, 85, 95, 105, 115, 125]",-8768.37723977,100.847642643,240.272,12.4442479567,153.545819761,0.0,no cnx,,,,
,,,,,,,,,,,,,
TSeries-09292017-1203-126_Cycle00002_MarkPoints.xml,5.0,"[127, 131, 135, 139, 143, 147, 151, 155, 159, 163]",-8907.23823053,183.548130315,233.452,12.4442479567,123.567431072,0.0,no cnx,,,,
TSeries-09292017-1203-126_Cycle00002_MarkPoints.xml,5.0,"[128, 132, 136, 140, 144, 148, 152, 156, 160, 164]",-8868.6130744,219.329716671,233.452,12.4442479567,166.051686247,0.0,no cnx,,,,
TSeries-09292017-1203-126_Cycle00002_MarkPoints.xml,5.0,"[129, 133, 137, 141, 145, 149, 153, 157, 161, 165]",-8790.17794139,42.3174980728,233.452,12.4442479567,127.579393491,0.0,no cnx,,,,
,,,,,,,,,,,,,
TSeries-09292017-1203-166_Cycle00002_MarkPoints.xml,5.0,"[167, 170, 173, 176, 179, 182, 185, 188, 191, 194]",-8909.60787201,223.12114304,264.172,12.4442479567,162.939346535,0.0,no cnx,,,,
TSeries-09292017-1203-166_Cycle00002_MarkPoints.xml,5.0,"[168, 171, 174, 177, 180, 183, 186, 189, 192, 195]",-8801.78918464,148.003508106,264.172,12.4442479567,144.36465801,0.0,no cnx,,,,
,,,,,,,,,,,,,
TSeries-09292017-1203-196_Cycle00002_MarkPoints.xml,5.0,"[197, 206, 215, 224, 233, 242, 251, 260, 269, 278]",-8930.9782922,51.7960639951,255.642,12.4442479567,35.5959274136,0.0,tbd,,,,
