,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,ZSeries-09132017-0934-030,-5919.053568,178,-5910.114048,521,-26.06,167.9711224,no cnx,,5,"[array([233, 243, 253, 263, 273, 283, 293, 303, 313, 323])]",4.81
1,ZSeries-09132017-0934-030,-5852.179676,359,-5981.575656,328,-34.11,73.80575283,no cnx,,5,"[array([127, 137, 147, 157, 167, 177, 187, 197, 207, 217])]",-3.24
2,ZSeries-09132017-0934-030,-5868.730728,314,-6071.513448,84,-56.22,51.93216022,tbd,,5,"[[29, 39, 49, 59, 69, 79, 89, 99, 109, 119]]",-25.35
3,ZSeries-09132017-0934-030,-5890.590608,255,-5960.340344,385,-34.11,110.3591101,no cnx,,5,"[array([130, 140, 150, 160, 170, 180, 190, 200, 210, 220])]",-3.24
4,ZSeries-09132017-0934-030,-5932.48178,142,-5942.903868,432,-26.06,150.5069345,no cnx,,5,"[array([231, 241, 251, 261, 271, 281, 291, 301, 311, 321])]",4.81
5,ZSeries-09132017-0934-030,-5919.678136,176,-5899.808676,549,-26.06,177.0428668,no cnx,,5,"[array([236, 246, 256, 266, 276, 286, 296, 306, 316, 326])]",4.81
6,ZSeries-09132017-0934-030,-5898.442824,234,-5915.73516,506,-26.06,152.7648471,no cnx,,5,"[array([229, 239, 249, 259, 269, 279, 289, 299, 309, 319])]",4.81
7,ZSeries-09132017-0934-030,-5864.046468,327,-6049.965852,143,-56.22,43.95084221,tbd,,5,"[[36, 46, 56, 66, 76, 86, 96, 106, 116, 126]]",-25.35
8,ZSeries-09132017-0934-030,-5849.681404,366,-5971.894852,354,-34.11,82.32295535,no cnx,,5,"[array([131, 141, 151, 161, 171, 181, 191, 201, 211, 221])]",-3.24
9,ZSeries-09132017-0934-030,-5931.812096,143,-5984.073928,321,-34.11,123.5751144,no cnx,,5,"[array([128, 138, 148, 158, 168, 178, 188, 198, 208, 218])]",-3.24
10,ZSeries-09132017-0934-030,-5873.727272,301,-5943.164724,432,-34.11,117.3773704,no cnx,,5,"[array([136, 146, 156, 166, 176, 186, 196, 206, 216, 226])]",-3.24
11,ZSeries-09132017-0934-030,-5849.681404,366,-6076.822276,70,-56.22,41.92043817,tbd,,5,"[[31, 41, 51, 61, 71, 81, 91, 101, 111, 121]]",-25.35
12,ZSeries-09132017-0934-030,-5911.558752,198,-6009.732644,252,-26.06,93.29692909,no cnx,,5,"[array([235, 245, 255, 265, 275, 285, 295, 305, 315, 325])]",4.81
13,ZSeries-09132017-0934-030,-5870.961832,308,-6015.041472,237,-26.06,56.28948411,tbd,,5,"[[234, 244, 254, 264, 274, 284, 294, 304, 314, 324]]",4.81
14,ZSeries-09132017-0934-030,-5895.274868,242,-6073.699436,79,-34.11,70.8239901,no cnx,,5,"[array([129, 139, 149, 159, 169, 179, 189, 199, 209, 219])]",-3.24
15,ZSeries-09132017-0934-030,-5859.362208,339,-6015.614612,236,-34.11,47.50157541,tbd,,5,"[[133, 143, 153, 163, 173, 183, 193, 203, 213, 223]]",-3.24
16,ZSeries-09132017-0934-030,-5893.401164,247,-6011.242636,247,-56.22,80.63441782,tbd,,5,"[[32, 42, 52, 62, 72, 82, 92, 102, 112, 122]]",-25.35
17,ZSeries-09132017-0934-030,-5851.555108,361,-5980.951088,329,-56.22,78.34081657,no cnx,,5,"[array([ 33,  43,  53,  63,  73,  83,  93, 103, 113, 123])]",-25.35
18,ZSeries-09132017-0934-030,-5976.826108,22,-5990.68332,303,-26.06,160.6106551,no cnx,,5,"[array([232, 242, 252, 262, 272, 282, 292, 302, 312, 322])]",4.81
19,ZSeries-09132017-0934-030,-5857.488504,344,-5997.50214,285,-56.22,66.29907614,tbd,,5,"[[30, 40, 50, 60, 70, 80, 90, 100, 110, 120]]",-25.35
20,ZSeries-09132017-0934-030,-5955.90308,78,-5975.693688,344,-26.06,148.5073685,no cnx,,5,"[array([227, 237, 247, 257, 267, 277, 287, 297, 307, 317])]",4.81
21,ZSeries-09132017-0934-030,-5974.64012,28,-5960.391772,385,-26.06,172.4528892,no cnx,,5,"[array([230, 240, 250, 260, 270, 280, 290, 300, 310, 320])]",4.81
22,ZSeries-09132017-0934-030,-5907.453944,209,-6032.790232,189,-56.22,85.27151517,no cnx,,5,"[array([ 28,  38,  48,  58,  68,  78,  88,  98, 108, 118])]",-25.35
23,ZSeries-09132017-0934-030,-5870.649548,309,-5967.574304,366,-26.06,94.00169275,no cnx,,5,"[array([228, 238, 248, 258, 268, 278, 288, 298, 308, 318])]",4.81
24,ZSeries-09132017-0934-030,-5830.007512,419,-6037.162208,177,-56.22,29.0796589,tbd,,5,"[[34, 44, 54, 64, 74, 84, 94, 104, 114, 124]]",-25.35
25,ZSeries-09132017-0934-030,-5874.35184,299,-5957.529788,393,-34.11,104.5687577,no cnx,,5,"[array([134, 144, 154, 164, 174, 184, 194, 204, 214, 224])]",-3.24
26,ZSeries-09132017-0934-030,-5840.312884,391,-5984.386212,320,-56.22,72.56970965,no cnx,,5,"[array([ 27,  37,  47,  57,  67,  77,  87,  97, 107, 117])]",-25.35
27,ZSeries-09132017-0934-030,-5889.029188,259,-6049.965852,143,-34.11,60.96224251,tbd,,5,"[[135, 145, 155, 165, 175, 185, 195, 205, 215, 225]]",-3.24
