,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,TSeries-09212017-0924-176,-7352.755503,251,-7048.059915,47,119.025,42.98669634,no cnx,,5,"[array([ 30,  36,  42,  48,  54,  60,  66,  72,  78,  84,  90,  96, 102,
       108, 114, 120, 126, 132, 138, 144])]",16.072
1,TSeries-09212017-0924-176,-7353.866525,248,-7034.357309,84,119.025,29.43089915,no cnx,,5,"[array([ 26,  32,  38,  44,  50,  56,  62,  68,  74,  80,  86,  92,  98,
       104, 110, 116, 122, 128, 134, 140])]",16.072
2,TSeries-09212017-0924-176,-7330.16472,312,-6947.697582,318,119.025,66.56077662,no cnx,,5,"[array([ 28,  34,  40,  46,  52,  58,  64,  70,  76,  82,  88,  94, 100,
       106, 112, 118, 124, 130, 136, 142])]",16.072
3,TSeries-09212017-0924-176,-7286.094175,431,-7016.580955,132,119.025,76.71952178,no cnx,,5,"[array([ 27,  33,  39,  45,  51,  57,  63,  69,  75,  81,  87,  93,  99,
       105, 111, 117, 123, 129, 135, 141])]",16.072
4,TSeries-09212017-0924-176,-7328.313016,317,-7018.432658,127,119.025,35.96217124,tbd,,5,"[[29, 35, 41, 47, 53, 59, 65, 71, 77, 83, 89, 95, 101, 107, 113, 119, 125, 131, 137, 143]]",16.072
5,TSeries-09212017-0924-176,-7319.054498,342,-7026.580154,105,119.025,47.66416262,tbd,,5,"[[31, 37, 43, 49, 55, 61, 67, 73, 79, 85, 91, 97, 103, 109, 115, 121, 127, 133, 139, 145]]",16.072
