,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,TSeries-09272017-0906-026,['TSeries_26_3'],-5003.521083,54,6397.157406,437,-24.77,169.2601847,no cnx,,5,"[array([28, 35, 42, 49, 56, 63, 70, 77, 84, 91])]",-72.06
1,TSeries-09272017-0906-026,['TSeries_26_5'],-4986.2227,101,6266.59016,86,-24.77,255.3897906,no cnx,,5,"[array([30, 37, 44, 51, 58, 65, 72, 79, 86, 93])]",-72.06
2,TSeries-09272017-0906-026,['TSeries_26_6'],-4867.266698,421,6344.077436,294,-24.77,160.71871,no cnx,,5,"[array([31, 38, 45, 52, 59, 66, 73, 80, 87, 94])]",-72.06
3,TSeries-09272017-0906-026,['TSeries_26_1'],-4939.540763,227,6372.513134,371,-24.77,148.1057047,no cnx,,5,"[array([26, 33, 40, 47, 54, 61, 68, 75, 82, 89])]",-72.06
4,TSeries-09272017-0906-026,['TSeries_26_7'],-4909.683281,307,6305.689244,191,-24.77,197.5927123,no cnx,,5,"[array([32, 39, 46, 53, 60, 67, 74, 81, 88, 95])]",-72.06
5,TSeries-09272017-0906-026,['TSeries_26_4'],-4989.540199,92,6348.342791,306,-24.77,191.1917995,no cnx,,5,"[array([29, 36, 43, 50, 57, 64, 71, 78, 85, 92])]",-72.06
6,TSeries-09272017-0906-026,['TSeries_26_2'],-4929.588269,254,6286.969077,141,-24.77,218.5903794,no cnx,,5,"[array([27, 34, 41, 48, 55, 62, 69, 76, 83, 90])]",-72.06
0,TSeries-09272017-0906-026,['TSeries_96_1'],-4947.147369,206,6459.281509,605,-16.35,96.8906353,no cnx,,5,"[array([ 96, 103, 110, 117, 124, 131, 138, 145, 152, 159])]",-63.64
1,TSeries-09272017-0906-026,['TSeries_96_6'],-4877.005981,395,6422.78903,506,-16.35,90.58758999,no cnx,,5,"[array([101, 108, 115, 122, 129, 136, 143, 150, 157, 164])]",-63.64
2,TSeries-09272017-0906-026,['TSeries_96_5'],-4968.711106,148,6339.37765,282,-16.35,183.9489596,no cnx,,5,"[array([100, 107, 114, 121, 128, 135, 142, 149, 156, 163])]",-63.64
3,TSeries-09272017-0906-026,['TSeries_96_2'],-4950.464867,197,6328.714264,253,-16.35,184.8940885,no cnx,,5,"[array([ 97, 104, 111, 118, 125, 132, 139, 146, 153, 160])]",-63.64
4,TSeries-09272017-0906-026,['TSeries_96_3'],-5013.971259,26,6440.324377,554,-16.35,155.8663376,no cnx,,5,"[array([ 98, 105, 112, 119, 126, 133, 140, 147, 154, 161])]",-63.64
5,TSeries-09272017-0906-026,['TSeries_96_7'],-4863.025096,433,6373.263524,373,-16.35,131.5602064,no cnx,,5,"[array([102, 109, 116, 123, 130, 137, 144, 151, 158, 165])]",-63.64
6,TSeries-09272017-0906-026,['TSeries_96_4'],-5007.336263,44,6388.666193,415,-16.35,173.4000354,no cnx,,5,"[array([ 99, 106, 113, 120, 127, 134, 141, 148, 155, 162])]",-63.64
0,TSeries-09272017-0906-026,['TSeries_166_4'],-5070.531625,125,6307.164225,195,-16.35,270.0113716,no cnx,,5,"[array([169, 178, 187, 196, 205, 214, 223, 232, 241, 250])]",-63.64
