MP_ID,rad_um,sweeps,X_mm,Y_mm,Z_mm,mW,electrode_1,z_electrode_1,electrode_1_cnx,notes,Y_pix,Image,X_pix
,,,,,,,,,,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[27, 41, 55, 69, 83, 97, 111, 125, 139, 153]",-9086.12378042,360.03708432,131.305,12.4442479567,47.3434563324,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[28, 42, 56, 70, 84, 98, 112, 126, 140, 154]",-9236.33421562,316.606074511,131.305,12.4442479567,112.437337758,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[29, 43, 57, 71, 85, 99, 113, 127, 141, 155]",-9243.80324278,284.240290132,131.305,12.4442479567,128.378671989,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[30, 44, 58, 72, 86, 100, 114, 128, 142, 156]",-9205.35158442,289.219641575,131.305,12.4442479567,91.4894927159,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[31, 45, 59, 73, 87, 101, 115, 129, 143, 157]",-9167.17655669,247.448415581,131.305,12.4442479567,95.5093059633,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[32, 46, 60, 74, 88, 102, 116, 130, 144, 158]",-9166.62329542,198.208162422,131.305,12.4442479567,141.229083495,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[33, 47, 61, 75, 89, 103, 117, 131, 145, 159]",-9210.05430523,198.208162422,131.305,12.4442479567,159.487338036,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[34, 48, 62, 76, 90, 104, 118, 132, 146, 160]",-9135.08740295,293.369101111,131.305,12.4442479567,41.0607838932,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[35, 49, 63, 77, 91, 105, 119, 133, 147, 161]",-9087.78356424,288.666380303,131.305,12.4442479567,58.1227232462,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[36, 50, 64, 78, 92, 106, 120, 134, 148, 162]",-9131.49120468,217.572306922,131.305,12.4442479567,115.806518423,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[37, 51, 65, 79, 93, 107, 121, 135, 149, 163]",-9167.45318733,355.887624784,131.305,12.4442479567,48.0199231388,0.0,no cnx,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[38, 52, 66, 80, 94, 108, 122, 136, 150, 164]",-9098.84878967,313.009876247,131.305,12.4442479567,33.1426130041,0.0,tbd,,,,
TSeries-09292017-1203-026_Cycle00002_MarkPoints.xml,5.0,"[39, 53, 67, 81, 95, 109, 123, 137, 151, 165]",-9187.64722373,282.027245046,131.305,12.4442479567,80.7936699862,0.0,tbd,,,,
,,,,,,,,,,,,,
TSeries-09292017-1203-166_Cycle00002_MarkPoints.xml,5.0,"[167, 178, 189, 200, 211, 222, 233, 244, 255, 266]",-9205.90484569,319.92564214,144.255,12.4442479567,79.1787242176,0.0,no cnx,,,,
TSeries-09292017-1203-166_Cycle00002_MarkPoints.xml,5.0,"[168, 179, 190, 201, 212, 223, 234, 245, 256, 267]",-9196.77603471,306.924002261,144.255,12.4442479567,73.823071803,0.0,no cnx,,,,
TSeries-09292017-1203-166_Cycle00002_MarkPoints.xml,5.0,"[169, 180, 191, 202, 213, 224, 235, 246, 257, 268]",-9196.22277344,283.963659496,144.255,12.4442479567,84.383680455,0.0,no cnx,,,,
TSeries-09292017-1203-166_Cycle00002_MarkPoints.xml,5.0,"[170, 181, 192, 203, 214, 225, 236, 247, 258, 269]",-9157.49448444,255.747334652,144.255,12.4442479567,83.178006855,0.0,no cnx,,,,
TSeries-09292017-1203-166_Cycle00002_MarkPoints.xml,5.0,"[171, 182, 193, 204, 215, 226, 237, 248, 259, 270]",-9124.57543879,240.532649687,144.255,12.4442479567,93.0071527059,0.0,no cnx,,,,
TSeries-09292017-1203-166_Cycle00002_MarkPoints.xml,5.0,"[172, 183, 194, 205, 216, 227, 238, 249, 260, 271]",-9129.00152896,199.867946236,144.255,12.4442479567,133.61717885,0.0,no cnx,,,,
TSeries-09292017-1203-166_Cycle00002_MarkPoints.xml,5.0,"[173, 184, 195, 206, 217, 228, 239, 250, 261, 272]",-9111.02053764,225.041334087,144.255,12.4442479567,109.744292741,0.0,no cnx,,,,
TSeries-09292017-1203-166_Cycle00002_MarkPoints.xml,5.0,"[174, 185, 196, 207, 218, 229, 240, 251, 262, 273]",-9082.52758216,278.707677417,144.255,12.4442479567,71.1215158712,0.0,no cnx,,,,
TSeries-09292017-1203-166_Cycle00002_MarkPoints.xml,5.0,"[175, 186, 197, 208, 219, 230, 241, 252, 263, 274]",-9258.18803584,338.459894733,144.255,12.4442479567,130.388141553,0.0,no cnx,,,,
TSeries-09292017-1203-166_Cycle00002_MarkPoints.xml,5.0,"[176, 187, 198, 209, 220, 231, 242, 253, 264, 275]",-9247.39944105,282.857136953,144.255,12.4442479567,129.784587552,0.0,tbd,,,,
,,,,,,,,,,,,,
TSeries-09292017-1203-276_Cycle00002_MarkPoints.xml,5.0,"[277, 288, 299, 310, 321, 332, 343, 354, 365, 376]",-9201.47875552,319.92564214,154.755,12.4442479567,75.09388151,0.0,no cnx,,,,
TSeries-09292017-1203-276_Cycle00002_MarkPoints.xml,5.0,"[278, 289, 300, 311, 322, 333, 344, 355, 366, 377]",-9172.98580004,323.521840404,154.755,12.4442479567,46.4475935548,0.0,excitatory,,,,
TSeries-09292017-1203-276_Cycle00002_MarkPoints.xml,5.0,"[279, 290, 301, 312, 323, 334, 345, 356, 367, 378]",-9198.9890798,287.006596489,154.755,12.4442479567,85.1680992104,0.0,no cnx,,,,
TSeries-09292017-1203-276_Cycle00002_MarkPoints.xml,5.0,"[280, 291, 302, 313, 324, 335, 346, 357, 368, 379]",-9222.2260532,247.725046216,154.755,12.4442479567,127.689537178,0.0,no cnx,,,,
TSeries-09292017-1203-276_Cycle00002_MarkPoints.xml,5.0,"[281, 292, 303, 314, 325, 336, 347, 358, 369, 380]",-9238.54726071,229.467424259,154.755,12.4442479567,152.065599139,0.0,no cnx,,,,
TSeries-09292017-1203-276_Cycle00002_MarkPoints.xml,5.0,"[282, 293, 304, 315, 326, 337, 348, 359, 370, 381]",-9179.6249353,213.422847387,154.755,12.4442479567,130.837810202,0.0,no cnx,,,,
TSeries-09292017-1203-276_Cycle00002_MarkPoints.xml,5.0,"[283, 294, 305, 316, 327, 338, 349, 360, 371, 382]",-9177.96515148,189.355982079,154.755,12.4442479567,152.665277545,0.0,no cnx,,,,
TSeries-09292017-1203-276_Cycle00002_MarkPoints.xml,5.0,"[284, 295, 306, 317, 328, 339, 350, 361, 372, 383]",-9131.76783532,199.038054329,154.755,12.4442479567,134.506508588,0.0,no cnx,,,,
TSeries-09292017-1203-276_Cycle00002_MarkPoints.xml,5.0,"[285, 296, 307, 318, 329, 340, 351, 362, 373, 384]",-9111.29716827,187.419567629,154.755,12.4442479567,146.970032407,0.0,no cnx,,,,
TSeries-09292017-1203-276_Cycle00002_MarkPoints.xml,5.0,"[286, 297, 308, 319, 330, 341, 352, 363, 374, 385]",-9158.60100698,338.736525369,154.755,12.4442479567,31.4252889207,0.0,tbd,,,,
,,,,,,,,,,,,,
TSeries-09292017-1203-386_Cycle00002_MarkPoints.xml,5.0,"[387, 394, 401, 408, 415, 422, 429, 436, 443, 450]",-9154.06304501,207.906576153,145.885,12.4442479567,133.702013229,0.0,no cnx,,,,
TSeries-09292017-1203-386_Cycle00002_MarkPoints.xml,5.0,"[388, 395, 402, 409, 416, 423, 430, 437, 444, 451]",-9136.58334521,230.221086534,145.885,12.4442479567,111.687164825,0.0,no cnx,,,,
TSeries-09292017-1203-386_Cycle00002_MarkPoints.xml,5.0,"[389, 396, 403, 410, 417, 424, 431, 438, 445, 452]",-9149.22823443,247.700786332,145.885,12.4442479567,93.7475047281,0.0,excitatory,,,,
TSeries-09292017-1203-386_Cycle00002_MarkPoints.xml,5.0,"[390, 397, 404, 411, 418, 425, 432, 439, 446, 453]",-9102.73967114,284.51972846,145.885,12.4442479567,72.0869596841,0.0,no cnx,,,,
TSeries-09292017-1203-386_Cycle00002_MarkPoints.xml,5.0,"[391, 398, 405, 412, 419, 426, 433, 440, 447, 454]",-9115.01265185,180.385346684,145.885,12.4442479567,164.181915569,0.0,no cnx,,,,
TSeries-09292017-1203-386_Cycle00002_MarkPoints.xml,5.0,"[392, 399, 406, 413, 420, 427, 434, 441, 448, 455]",-9068.52408855,211.997569723,145.885,12.4442479567,151.355796323,0.0,no cnx,,,,
