,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,ZSeries-09132017-0938-073,['TSeries_27_5'],-4576.352868,297,5658.751994,95,-19.217,47.44059324,no cnx,,5,"[array([ 31,  41,  51,  61,  71,  81,  91, 101, 111, 121])]",8.32
1,ZSeries-09132017-0938-073,['TSeries_27_10'],-4614.843044,194,5643.837051,55,-19.217,63.38728185,no cnx,,5,"[array([ 36,  46,  56,  66,  76,  86,  96, 106, 116, 126])]",8.32
2,ZSeries-09132017-0938-073,['TSeries_27_8'],-4510.679004,474,5517.060032,286,-19.217,202.930608,no cnx,,5,"[array([ 34,  44,  54,  64,  74,  84,  94, 104, 114, 124])]",8.32
3,ZSeries-09132017-0938-073,['TSeries_27_2'],-4644.672931,113,5607.271383,43,-19.217,108.9617457,no cnx,,5,"[array([ 28,  38,  48,  58,  68,  78,  88,  98, 108, 118])]",8.32
4,ZSeries-09132017-0938-073,['TSeries_27_7'],-4611.715718,202,5533.899484,240,-19.217,169.967646,no cnx,,5,"[array([ 33,  43,  53,  63,  73,  83,  93, 103, 113, 123])]",8.32
5,ZSeries-09132017-0938-073,['TSeries_27_4'],-4616.52699,189,5600.776166,60,-19.217,104.9224746,no cnx,,5,"[array([ 30,  40,  50,  60,  70,  80,  90, 100, 110, 120])]",8.32
6,ZSeries-09132017-0938-073,['TSeries_27_1'],-4551.574817,364,5519.225104,280,-19.217,188.0467337,no cnx,,5,"[array([ 27,  37,  47,  57,  67,  77,  87,  97, 107, 117])]",8.32
7,ZSeries-09132017-0938-073,['TSeries_27_3'],-4642.748422,118,5497.333816,339,-19.217,211.4625938,no cnx,,5,"[array([ 29,  39,  49,  59,  69,  79,  89,  99, 109, 119])]",8.32
8,ZSeries-09132017-0938-073,['TSeries_27_9'],-4560.716234,339,5665.006648,112,-19.217,49.91345361,no cnx,,5,"[array([ 35,  45,  55,  65,  75,  85,  95, 105, 115, 125])]",8.32
9,ZSeries-09132017-0938-073,['TSeries_27_6'],-4665.361401,58,5574.795297,130,-19.217,147.3220379,no cnx,,5,"[array([ 32,  42,  52,  62,  72,  82,  92, 102, 112, 122])]",8.32
0,ZSeries-09132017-0938-073,['TSeries_127_6'],-4625.668407,164,5681.674717,157,-19.217,40.06799353,no cnx,,5,"[array([132, 142, 152, 162, 172, 182, 192, 202, 212, 222])]",8.32
1,ZSeries-09132017-0938-073,['TSeries_127_7'],-4615.083608,193,5663.87301,109,-19.217,45.56870692,tbd,,5,"[[133, 143, 153, 163, 173, 183, 193, 203, 213, 223]]",8.32
2,ZSeries-09132017-0938-073,['TSeries_127_8'],-4547.966363,374,5765.150287,382,-19.217,77.2608216,no cnx,,5,"[array([134, 144, 154, 164, 174, 184, 194, 204, 214, 224])]",8.32
3,ZSeries-09132017-0938-073,['TSeries_227_2'],-4632.885315,145,5722.329966,266,-26.187,44.96981106,no cnx,,5,"[array([228, 231, 234, 237, 240, 243, 246, 249, 252, 255])]",1.35
4,ZSeries-09132017-0938-073,['TSeries_127_2'],-4653.092657,91,5684.320917,164,-19.217,63.81696665,no cnx,,5,"[array([128, 138, 148, 158, 168, 178, 188, 198, 208, 218])]",8.32
5,ZSeries-09132017-0938-073,['TSeries_127_1'],-4560.956797,339,5734.358146,299,-19.217,45.55334089,no cnx,,5,"[array([127, 137, 147, 157, 167, 177, 187, 197, 207, 217])]",8.32
6,ZSeries-09132017-0938-073,['TSeries_127_5'],-4538.584382,399,5664.594701,111,-19.217,66.48018014,no cnx,,5,"[array([131, 141, 151, 161, 171, 181, 191, 201, 211, 221])]",8.32
