,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,TSeries-09182017-0913-026,-6312.876596,95,-7127.192712,72,32.192,92.57469331,no cnx,,5,"[array([130, 140, 150, 160, 170, 180, 190, 200, 210, 220])]",
1,TSeries-09182017-0913-026,-6338.796168,24,-7036.942636,316,32.192,119.3214356,no cnx,,5,"[array([132, 142, 152, 162, 172, 182, 192, 202, 212, 222])]",
2,TSeries-09182017-0913-026,-6275.7148,195,-7130.627836,63,32.192,63.92643777,no cnx,,5,"[array([126, 136, 146, 156, 166, 176, 186, 196, 206, 216])]",
3,TSeries-09182017-0913-026,-6248.693688,268,-6976.09812,481,80.222,111.4239773,no cnx,,5,"[array([ 35,  45,  55,  65,  75,  85,  95, 105, 115, 125])]",
4,TSeries-09182017-0913-026,-6212.468744,366,-6998.894852,419,80.222,88.795783,no cnx,,5,"[array([ 27,  37,  47,  57,  67,  77,  87,  97, 107, 117])]",
5,TSeries-09182017-0913-026,-6249.17066,267,-7029.135536,338,32.192,59.95477824,no cnx,,5,"[array([133, 143, 153, 163, 173, 183, 193, 203, 213, 223])]",
6,TSeries-09182017-0913-026,-6277.7361,190,-7110.067956,119,80.222,53.48599573,tbd,,5,"[[28, 38, 48, 58, 68, 78, 88, 98, 108, 118]]",
7,TSeries-09182017-0913-026,-6295.536288,141,-7020.130164,362,80.222,92.87786052,tbd,,5,"[[29, 39, 49, 59, 69, 79, 89, 99, 109, 119]]",
8,TSeries-09182017-0913-026,-6323.494252,66,-7032.258376,329,32.192,107.8108411,no cnx,,5,"[array([134, 144, 154, 164, 174, 184, 194, 204, 214, 224])]",
9,TSeries-09182017-0913-026,-6299.283696,131,-7080.088692,200,80.222,69.5305014,no cnx,,5,"[array([ 32,  42,  52,  62,  72,  82,  92, 102, 112, 122])]",
10,TSeries-09182017-0913-026,-6228.707512,322,-7086.95894,181,80.222,1.644165469,tbd,,5,"[[26, 36, 46, 56, 66, 76, 86, 96, 106, 116]]",
11,TSeries-09182017-0913-026,-6244.174116,280,-7009.773928,390,32.192,77.47644143,no cnx,,5,"[array([131, 141, 151, 161, 171, 181, 191, 201, 211, 221])]",
12,TSeries-09182017-0913-026,-6261.185048,234,-7071.657024,223,80.222,34.30139435,tbd,,5,"[[31, 41, 51, 61, 71, 81, 91, 101, 111, 121]]",
13,TSeries-09182017-0913-026,-6242.300412,285,-6985.72806,455,32.192,100.9667787,no cnx,,5,"[array([127, 137, 147, 157, 167, 177, 187, 197, 207, 217])]",
14,TSeries-09182017-0913-026,-6244.321712,280,-7009.200224,392,80.222,78.06747546,no cnx,,5,"[array([ 30,  40,  50,  60,  70,  80,  90, 100, 110, 120])]",
15,TSeries-09182017-0913-026,-6349.726108,4,-7062.549924,247,32.192,121.9899554,no cnx,,5,"[array([129, 139, 149, 159, 169, 179, 189, 199, 209, 219])]",
16,TSeries-09182017-0913-026,-6261.349736,234,-7036.318068,318,32.192,58.69765138,no cnx,,5,"[array([135, 145, 155, 165, 175, 185, 195, 205, 215, 225])]",
17,TSeries-09182017-0913-026,-6236.6793,301,-7088.157212,178,32.192,7.036740182,tbd,,5,"[[128, 138, 148, 158, 168, 178, 188, 198, 208, 218]]",
18,TSeries-09182017-0913-026,-6245.883132,276,-7139.422652,39,80.222,55.78859352,no cnx,,5,"[array([ 34,  44,  54,  64,  74,  84,  94, 104, 114, 124])]",
19,TSeries-09182017-0913-026,-6194.043988,416,-6977.971824,476,80.222,113.8005699,excitatory,,5,"[[33, 43, 53, 63, 73, 83, 93, 103, 113, 123]]",
