,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,ZSeries-09012017-1015-024,['TSeries_87_6'],-2102.78900745,212,-269.957885636,340,304.771,154.604639344,no cnx,,15.64,"[array([ 92,  98, 104, 110, 116, 122, 128, 134, 140, 146])]",22.49
1,ZSeries-09012017-1015-024,['TSeries_147_2'],-1872.84242312,411,-427.034073525,204,324.911,134.375253433,no cnx,,15.64,"[array([148, 153, 158, 163, 168, 173, 178, 183, 188, 193])]",42.63
2,ZSeries-09012017-1015-024,['TSeries_87_3'],-2040.44433494,266,-151.745909184,442,304.771,225.202972831,no cnx,,15.64,"[array([ 89,  95, 101, 107, 113, 119, 125, 131, 137, 143])]",22.49
3,ZSeries-09012017-1015-024,['TSeries_197_1'],-2256.62651105,79,-583.300590342,69,217.041,350.875353267,no cnx,,15.64,"[array([197, 200, 203, 206, 209, 212, 215, 218, 221, 224])]",65.24
4,ZSeries-09012017-1015-024,['TSeries_147_4'],-2204.80756247,124,-550.913747478,97,324.911,287.290006726,no cnx,,15.64,"[array([150, 155, 160, 165, 170, 175, 180, 185, 190, 195])]",42.63
5,ZSeries-09012017-1015-024,['TSeries_27_5'],-2288.20368285,52,-414.07933638,216,265.071,305.60494157,no cnx,,15.64,"[array([31, 37, 43, 49, 55, 61, 67, 73, 79, 85])]",17.21
6,ZSeries-09012017-1015-024,['TSeries_87_2'],-1767.58518381,502,-342.018611008,278,304.771,221.642715284,no cnx,,15.64,"[array([ 88,  94, 100, 106, 112, 118, 124, 130, 136, 142])]",22.49
7,ZSeries-09012017-1015-024,['TSeries_87_1'],-2009.67683422,293,-304.773741715,310,304.771,72.1067041998,inhibitory,,15.64,"[[87, 93, 99, 105, 111, 117, 123, 129, 135, 141]]",22.49
8,ZSeries-09012017-1015-024,['TSeries_27_1'],-2050.97005887,257,-320.967163147,296,265.071,82.4168906083,no cnx,,15.64,"[array([27, 33, 39, 45, 51, 57, 63, 69, 75, 81])]",17.21
9,ZSeries-09012017-1015-024,['TSeries_27_6'],-2037.20565065,269,-257.812819562,351,265.071,123.637563632,inhibitory,,15.64,"[[32, 38, 44, 50, 56, 62, 68, 74, 80, 86]]",17.21
10,ZSeries-09012017-1015-024,['TSeries_227_1'],-1953.07084599,342,-605.910654975,50,269.861,239.359872737,no cnx,,15.64,"[array([227, 231, 235, 239, 243, 247, 251, 255, 259, 263])]",12.42
11,ZSeries-09012017-1015-024,['TSeries_27_4'],-2025.87025565,279,-380.882822444,244,265.071,44.6126740337,no cnx,,15.64,"[array([30, 36, 42, 48, 54, 60, 66, 72, 78, 84])]",17.21
12,ZSeries-09012017-1015-024,['TSeries_27_3'],-1841.26525133,439,-327.444531719,290,265.071,152.002693317,no cnx,,15.64,"[array([29, 35, 41, 47, 53, 59, 65, 71, 77, 83])]",17.21
13,ZSeries-09012017-1015-024,['TSeries_147_5'],-1940.04512206,353,-448.895192458,185,324.911,101.568643166,no cnx,,15.64,"[array([151, 156, 161, 166, 171, 176, 181, 186, 191, 196])]",42.63
14,ZSeries-09012017-1015-024,['TSeries_87_4'],-2110.88571817,205,-580.061906056,72,304.771,245.889085644,no cnx,,15.64,"[array([ 90,  96, 102, 108, 114, 120, 126, 132, 138, 144])]",22.49
15,ZSeries-09012017-1015-024,['TSeries_147_3'],-2257.43618212,79,-151.745909184,442,324.911,350.096035083,no cnx,,15.64,"[array([149, 154, 159, 164, 169, 174, 179, 184, 189, 194])]",42.63
16,ZSeries-09012017-1015-024,['TSeries_147_1'],-1863.12637026,420,-205.184199909,396,324.911,209.565976332,no cnx,,15.64,"[array([147, 152, 157, 162, 167, 172, 177, 182, 187, 192])]",42.63
17,ZSeries-09012017-1015-024,['TSeries_197_3'],-2309.25513071,34,-433.511442098,199,217.041,335.597768019,no cnx,,15.64,"[array([199, 202, 205, 208, 211, 214, 217, 220, 223, 226])]",65.24
18,ZSeries-09012017-1015-024,['TSeries_197_2'],-1934.37742456,358,-599.494011774,55,217.041,244.937159558,no cnx,,15.64,"[array([198, 201, 204, 207, 210, 213, 216, 219, 222, 225])]",65.24
19,ZSeries-09012017-1015-024,['TSeries_227_4'],-2014.60584743,289,-465.83755959,171,269.861,101.424697297,no cnx,,15.64,"[array([230, 234, 238, 242, 246, 250, 254, 258, 262, 266])]",12.42
20,ZSeries-09012017-1015-024,['TSeries_27_2'],-1983.76735993,315,-602.73269606,52,265.071,234.172468873,no cnx,,15.64,"[array([28, 34, 40, 46, 52, 58, 64, 70, 76, 82])]",17.21
21,ZSeries-09012017-1015-024,['TSeries_227_3'],-2181.39808818,144,-569.475456753,81,269.861,279.794556102,no cnx,,15.64,"[array([229, 233, 237, 241, 245, 249, 253, 257, 261, 265])]",12.42
22,ZSeries-09012017-1015-024,['TSeries_87_5'],-1848.55229097,432,-606.781051418,49,304.771,275.588263748,no cnx,,15.64,"[array([ 91,  97, 103, 109, 115, 121, 127, 133, 139, 145])]",22.49
23,ZSeries-09012017-1015-024,['TSeries_227_2'],-1976.55130707,322,-380.012426001,245,269.861,19.1834138884,no cnx,,15.64,"[array([228, 232, 236, 240, 244, 248, 252, 256, 260, 264])]",12.42
