,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,ZSeries-10092017-0936-056,-6180.042781,214,-7115.31707,297,1.951,51.21554994,no cnx,,5,"[array([ 69,  71,  73,  75,  77,  79,  81,  83,  85,  87,  89,  91,  93,
        95,  97,  99, 101, 103, 105, 107])]",-49.19
1,ZSeries-10092017-0936-056,-6116.454947,386,-7070.060473,419,52.231,87.38789799,no cnx,,5,"[array([148, 150, 152, 154, 156, 158, 160, 162, 164, 166, 168, 170, 172,
       174, 176, 178, 180, 182, 184, 186])]",1.09
2,ZSeries-10092017-0936-056,-6223.293255,97,-7092.183096,359,1.951,60.44628678,no cnx,,5,"[array([ 68,  70,  72,  74,  76,  78,  80,  82,  84,  86,  88,  90,  92,
        94,  96,  98, 100, 102, 104, 106])]",-49.19
3,ZSeries-10092017-0936-056,-6129.530671,350,-7022.265161,549,52.231,109.4937825,no cnx,,5,"[array([149, 151, 153, 155, 157, 159, 161, 163, 165, 167, 169, 171, 173,
       175, 177, 179, 181, 183, 185, 187])]",1.09
4,ZSeries-10092017-0936-056,-6138.058902,327,-7149.40336,205,15.841,76.21492507,no cnx,,5,"[array([108, 110, 112, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132,
       134, 136, 138, 140, 142, 144, 146])]",-35.3
5,ZSeries-10092017-0936-056,-6250.078001,24,-7095.05156,352,15.841,68.45592247,no cnx,,5,"[array([109, 111, 113, 115, 117, 119, 121, 123, 125, 127, 129, 131, 133,
       135, 137, 139, 141, 143, 145, 147])]",-35.3
