,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,ZSeries-09132017-0934-029,-5788.73189176,297,-5973.49098396,303,30.63,39.0236992395,no cnx,,5.0,"[array([281, 291, 301, 311, 321])]",11.68
1,ZSeries-09132017-0934-029,-5896.14357595,7,-5843.58083973,655,53.16,180.38432487,no cnx,,5.0,"[array([486, 496, 506, 516, 526, 536, 546, 556, 566, 576])]",10.85
2,ZSeries-09132017-0934-029,-5776.33072786,331,-5916.22114772,458,46.6,45.2541272452,excitatory,,5.0,"[[236, 246, 256, 266, 276]]",4.29
3,ZSeries-09132017-0934-029,-5849.61325987,133,-5849.82651974,638,53.16,142.360323422,no cnx,,5.0,"[array([485, 495, 505, 515, 525, 535, 545, 555, 565, 575])]",10.85
4,ZSeries-09132017-0934-029,-5725.11615177,469,-5909.97546771,475,46.6,55.6647948918,no cnx,,5.0,"[array([230, 240, 250, 260, 270])]",4.29
5,ZSeries-09132017-0934-029,-5825.69616795,197,-5964.26374781,328,45.38,70.502405402,no cnx,,5.0,"[array([30, 40, 50, 60, 70])]",3.07
6,ZSeries-09132017-0934-029,-5778.82899986,324,-5933.70905175,411,58.96,36.3431537208,no cnx,,5.0,"[array([186, 196, 206, 216, 226])]",16.65
7,ZSeries-09132017-0934-029,-5847.44128386,138,-5978.17524397,290,30.63,95.0245734604,no cnx,,5.0,"[array([279, 289, 299, 309, 319])]",11.68
8,ZSeries-09132017-0934-029,-5829.62708384,187,-5897.29368783,509,53.16,95.1831931304,excitatory,,5.0,"[[478, 488, 498, 508, 518, 528, 538, 548, 558, 568]]",10.85
9,ZSeries-09132017-0934-029,-5848.42400391,136,-6022.91479983,169,24.72,115.520195763,no cnx,,5.0,"[array([582, 592, 602, 612, 622, 632, 642, 652, 662, 672])]",17.59
10,ZSeries-09132017-0934-029,-5778.20443186,326,-5962.4391798,333,58.96,28.6525620051,no cnx,,5.0,"[array([184, 194, 204, 214, 224])]",16.65
11,ZSeries-09132017-0934-029,-5715.45991575,496,-5919.29485173,450,45.38,54.7503991222,excitatory,,5.0,"[[34, 44, 54, 64, 74]]",3.07
12,ZSeries-09132017-0934-029,-5773.10367974,340,-5867.93899177,589,53.16,90.6851659755,no cnx,,5.0,"[array([480, 490, 500, 510, 520, 530, 540, 550, 560, 570])]",10.85
13,ZSeries-09132017-0934-029,-5713.24935975,502,-5907.16491171,483,58.96,67.0268140365,excitatory,,5.0,"[[183, 193, 203, 213, 223]]",16.65
14,ZSeries-09132017-0934-029,-5794.08658781,283,-5948.2789237,371,24.72,42.9625073296,no cnx,,5.0,"[array([579, 589, 599, 609, 619, 629, 639, 649, 659, 669])]",17.59
15,ZSeries-09132017-0934-029,-5802.77065979,259,-5915.40615986,460,30.63,63.4124950508,no cnx,,5.0,"[array([385, 395, 405, 415, 425, 435, 445, 455, 465, 475])]",11.68
16,ZSeries-09132017-0934-029,-5727.32670777,463,-5940.84244776,391,45.38,32.4585041776,excitatory,,5.0,"[[27, 37, 47, 57, 67]]",3.07
17,ZSeries-09132017-0934-029,-5845.25529586,144,-5937.8906079,399,30.63,92.15202108,no cnx,,5.0,"[array([278, 288, 298, 308, 318])]",11.68
18,ZSeries-09132017-0934-029,-5869.03474794,80,-6042.58869187,116,24.72,143.528453518,no cnx,,5.0,"[array([578, 588, 598, 608, 618, 628, 638, 648, 658, 668])]",17.59
19,ZSeries-09132017-0934-029,-5861.79233589,100,-5842.64398773,657,30.63,155.889218015,no cnx,,5.0,"[array([386, 396, 406, 416, 426, 436, 446, 456, 466, 476])]",11.68
20,ZSeries-09132017-0934-029,-5779.67565574,322,-5868.56355977,587,30.63,91.6749216694,no cnx,,5.0,"[array([280, 290, 300, 310, 320])]",11.68
21,ZSeries-09132017-0934-029,-5901.76468796,8,-5826.4052197,701,53.16,195.742451522,no cnx,,5.0,"[array([484, 494, 504, 514, 524, 534, 544, 554, 564, 574])]",10.85
22,ZSeries-09132017-0934-029,-5844.94301186,145,-5964.12246394,328,30.63,90.3306710128,no cnx,,5.0,"[array([282, 292, 302, 312, 322])]",11.68
23,ZSeries-09132017-0934-029,-5895.20672395,9,-5941.3257319,390,53.16,140.709857215,no cnx,,5.0,"[array([482, 492, 502, 512, 522, 532, 542, 552, 562, 572])]",10.85
24,ZSeries-09132017-0934-029,-5843.36757986,149,-5921.65183987,443,30.63,94.9650754947,no cnx,,5.0,"[array([378, 388, 398, 408, 418, 428, 438, 448, 458, 468])]",11.68
25,ZSeries-09132017-0934-029,-5802.78467178,259,-5888.86201981,532,30.63,83.0472632376,no cnx,,5.0,"[array([284, 294, 304, 314, 324])]",11.68
26,ZSeries-09132017-0934-029,-5850.34203599,131,-5919.03170373,450,46.6,101.783908253,no cnx,,5.0,"[array([228, 238, 248, 258, 268])]",4.29
