MP_ID,rad_um,sweeps,X_mm,Y_mm,Z_mm,mW,xy_Distance1,x_coor1,y_coor1,z_electrode_1,electrode_1,electrode_1_cnx,notes,Y_pix,Image,X_pix
TSeries-09252017-1120-266_Cycle00002_MarkPoints.xml,5.0,"[275, 287, 299, 311, 323, 335, 347, 359, 371, 383, 395, 407, 419, 431, 443, 455, 467, 479, 491, 503]",-6736.10296066,521.241524686,-40.651,12.4442479567,128.467135758,-68.5678793301,-108.638164998,0.0,118.55243149,no cnx,,,,
TSeries-09252017-1120-266_Cycle00002_MarkPoints.xml,5.0,"[276, 288, 300, 312, 324, 336, 348, 360, 372, 384, 396, 408, 420, 432, 444, 456, 468, 480, 492, 504]",-6732.31153429,445.412997308,-40.651,12.4442479567,66.2792576902,-5.72678734326,-66.0313857698,0.0,42.6805257014,tbd,,,,
TSeries-09252017-1120-266_Cycle00002_MarkPoints.xml,5.0,"[277, 289, 301, 313, 325, 337, 349, 361, 373, 385, 397, 409, 421, 433, 445, 457, 469, 481, 493, 505]",-6911.45643022,432.379969165,-40.651,12.4442479567,133.57044968,-103.130237957,84.8835616981,0.0,186.217036046,no cnx,,,,
TSeries-09252017-1120-506_Cycle00002_MarkPoints.xml,5.0,"[506, 518, 530, 542, 554, 566, 578, 590, 602, 614, 626, 638, 650, 662, 674, 686, 698, 710, 722, 734]",-6776.62382998,426.912218599,-40.351,12.4442479567,0.0,0.0,-0.0,0.0,54.571265689,no cnx,,,,
,,,,,,,,,,,,,,,,
TSeries-09252017-1120-506_Cycle00002_MarkPoints.xml,5.0,"[508, 520, 532, 544, 556, 568, 580, 592, 604, 616, 628, 640, 652, 664, 676, 688, 700, 712, 724, 736]",-6793.68524864,416.485796084,-40.351,12.4442479567,19.9950567178,-1.94090680309,19.9006325007,0.0,67.2953148592,no cnx,,,,
TSeries-09252017-1120-506_Cycle00002_MarkPoints.xml,5.0,"[509, 521, 533, 545, 557, 569, 581, 593, 605, 617, 629, 641, 653, 665, 677, 689, 701, 713, 725, 737]",-6816.670771,409.61383579,-40.351,12.4442479567,43.6232911753,-10.2857479611,42.3933358188,0.0,91.1927206825,no cnx,,,,
TSeries-09252017-1120-506_Cycle00002_MarkPoints.xml,5.0,"[510, 522, 534, 546, 558, 570, 582, 594, 606, 618, 630, 642, 654, 666, 678, 690, 702, 714, 726, 738]",-6808.14006167,396.580807647,-40.351,12.4442479567,43.7409116312,5.25680015041,43.4238805556,0.0,86.8624722822,no cnx,,,,
TSeries-09252017-1120-506_Cycle00002_MarkPoints.xml,5.0,"[511, 523, 535, 547, 559, 571, 583, 595, 607, 619, 631, 643, 655, 667, 679, 691, 703, 715, 727, 739]",-6859.79824595,362.694934475,-40.351,12.4442479567,105.080174399,1.23059038834,105.072968451,0.0,147.93928159,no cnx,,,,
TSeries-09252017-1120-506_Cycle00002_MarkPoints.xml,5.0,"[512, 524, 536, 548, 560, 572, 584, 596, 608, 620, 632, 644, 656, 668, 680, 692, 704, 716, 728, 740]",-6804.58559945,341.605125298,-40.351,12.4442479567,89.7728284021,51.3014610273,73.6703523527,0.0,116.519394423,no cnx,,,,
TSeries-09252017-1120-506_Cycle00002_MarkPoints.xml,5.0,"[513, 525, 537, 549, 561, 573, 585, 597, 609, 621, 633, 645, 657, 669, 681, 693, 705, 717, 729, 741]",-6783.02186198,291.842654206,-40.351,12.4442479567,135.221011824,104.020918676,86.3965885696,0.0,147.98349386,no cnx,,,,
TSeries-09252017-1120-506_Cycle00002_MarkPoints.xml,5.0,"[514, 526, 538, 550, 562, 574, 586, 598, 610, 622, 634, 646, 658, 670, 682, 694, 706, 718, 730, 742]",-6728.99403622,301.08425598,-40.351,12.4442479567,134.540973054,129.155004538,37.6863136037,0.0,127.968538512,no cnx,,,,
TSeries-09252017-1120-506_Cycle00002_MarkPoints.xml,5.0,"[515, 527, 539, 551, 563, 575, 587, 599, 611, 623, 635, 647, 659, 671, 683, 695, 707, 719, 731, 743]",-6732.54849844,357.007794922,-40.351,12.4442479567,82.6393568454,82.353351728,6.86940746966,0.0,72.2087734082,no cnx,,,,
TSeries-09252017-1120-506_Cycle00002_MarkPoints.xml,5.0,"[516, 528, 540, 552, 564, 576, 588, 600, 612, 624, 636, 648, 660, 672, 684, 696, 708, 720, 732, 744]",-6825.67540863,342.55298189,-40.351,12.4442479567,97.5834934087,37.8523050961,89.9429885247,0.0,130.786393275,no cnx,,,,
TSeries-09252017-1120-506_Cycle00002_MarkPoints.xml,5.0,"[517, 529, 541, 553, 565, 577, 589, 601, 613, 625, 637, 649, 661, 673, 685, 697, 709, 721, 733, 745]",-6828.04505011,367.434217436,-40.351,12.4442479567,78.6242615339,16.5551810128,76.861567011,0.0,117.858639898,no cnx,,,,
TSeries-09252017-1120-746_Cycle00002_MarkPoints.xml,5.0,"[746, 756, 766, 776, 786, 796, 806, 816, 826, 836, 846, 856, 866, 876, 886, 896, 906, 916, 926, 936]",-6771.2260717,417.008282594,-40.351,12.4442479567,0.0,0.0,-0.0,0.0,45.282845469,no cnx,,,,
TSeries-09252017-1120-746_Cycle00002_MarkPoints.xml,5.0,"[747, 757, 767, 777, 787, 797, 807, 817, 827, 837, 847, 857, 867, 877, 887, 897, 907, 917, 927, 937]",-6726.91377602,347.577787213,-40.351,12.4442479567,82.3660927678,82.1174643458,6.39494231791,0.0,82.3660927678,no cnx,,,,
TSeries-09252017-1120-746_Cycle00002_MarkPoints.xml,5.0,"[748, 758, 768, 778, 788, 798, 808, 818, 828, 838, 848, 858, 868, 878, 888, 898, 908, 918, 928, 938]",-6706.29789514,308.95263108,-40.351,12.4442479567,126.06225421,125.371832445,13.1755670081,0.0,126.06225421,no cnx,,,,
TSeries-09252017-1120-746_Cycle00002_MarkPoints.xml,5.0,"[749, 759, 769, 779, 789, 799, 809, 819, 829, 839, 849, 859, 869, 879, 889, 899, 909, 919, 929, 939]",-6698.95200655,269.616582502,-40.351,12.4442479567,164.158014578,161.207863775,30.9819045128,0.0,164.158014578,no cnx,,,,
TSeries-09252017-1120-746_Cycle00002_MarkPoints.xml,5.0,"[750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900, 910, 920, 930, 940]",-6703.21736121,245.683203548,-40.351,12.4442479567,184.329778963,177.754955567,48.7918352204,0.0,184.329778963,no cnx,,,,
TSeries-09252017-1120-746_Cycle00002_MarkPoints.xml,5.0,"[751, 761, 771, 781, 791, 801, 811, 821, 831, 841, 851, 861, 871, 881, 891, 901, 911, 921, 931, 941]",-6643.02846761,253.97694873,-40.351,12.4442479567,207.397785711,207.353856552,-4.26845297291,0.0,207.397785711,no cnx,,,,
TSeries-09252017-1120-746_Cycle00002_MarkPoints.xml,5.0,"[752, 762, 772, 782, 792, 802, 812, 822, 832, 842, 852, 862, 872, 882, 892, 902, 912, 922, 932, 942]",-6627.38883383,236.91553007,-40.351,12.4442479567,230.48329768,230.391877906,-6.49100180124,0.0,230.48329768,no cnx,,,,
TSeries-09252017-1120-746_Cycle00002_MarkPoints.xml,5.0,"[753, 763, 773, 783, 793, 803, 813, 823, 833, 843, 853, 863, 873, 883, 893, 903, 913, 923, 933, 943]",-6671.70112952,330.753332701,-40.351,12.4442479567,131.700913048,128.781871286,-27.5746282968,0.0,131.700913048,no cnx,,,,
TSeries-09252017-1120-746_Cycle00002_MarkPoints.xml,5.0,"[754, 764, 774, 784, 794, 804, 814, 824, 834, 844, 854, 864, 874, 884, 894, 904, 914, 924, 934, 944]",-6626.91490554,327.435834628,-40.351,12.4442479567,169.849745702,158.384365475,-61.3459769509,0.0,169.849745702,no cnx,,,,
TSeries-09252017-1120-746_Cycle00002_MarkPoints.xml,5.0,"[755, 765, 775, 785, 795, 805, 815, 825, 835, 845, 855, 865, 875, 885, 895, 905, 915, 925, 935, 945]",-6658.19417308,371.985094463,-40.351,12.4442479567,121.668802804,103.981411504,-63.1756570012,0.0,121.668802804,no cnx,,,,
,,,,,,,,,,,,,,,,
TSeries-09252017-1120-946_Cycle00002_MarkPoints.xml,5.0,"[947, 949, 951, 953, 955, 957, 959, 961, 963, 965, 967, 969, 971, 973, 975, 977, 979, 981, 983, 985]",-6679.04701811,315.824591373,-40.351,12.4442479567,136.876284617,136.283628119,-12.7236000085,0.0,136.876284617,no cnx,,,,
